ID,entidad,tipo,link,precio,municipio,colonia,Superficie total,Superficie construida,Ambientes,Recámaras,Baños,Estacionamientos,Tipo de casa,Antigüedad,Cuota mensual de mantenimiento,RecÃ¡maras,BaÃ±os,Bodegas,AntigÃ¼edad,OrientaciÃ³n,Orientación,Cantidad de pisos,Tipo de propiedad,Tipo de departamento,Disposición,Departamentos por piso,Número de piso de la unidad,Acceso,Metros de frente,Metros de fondo,Forma del terreno,DisposiciÃ³n del lote,Disposición del lote,NÃºmero de piso de la unidad,DisposiciÃ³n
1385447403,puebla,terreno,https://terreno.metroscubicos.com/MLM-1385447403-terreno-en-venta-santiago-mixquitla-_JM,"$1,104,795",San Pedro Cholula,Santiago Mixquitla,117 mÂ²,,,,,,,,,,,,,,,,,,,,,-,,,,,,,
1385447398,puebla,terreno,https://terreno.metroscubicos.com/MLM-1385447398-terreno-en-venta-parque-zacatecas-_JM,"$1,569,672",Ocoyucan,Malacatepec,179 m²,,,,,,,,,,,,,,,,,,,,,-,,,,,,,
1385470648,puebla,terreno,https://terreno.metroscubicos.com/MLM-1385470648-terreno-en-venta-parque-veracruz-_JM,"$1,056,600",San Andrés Cholula,Parque Terranova,147 m²,,,,,,,,,,,,,,,,,,,,,-,,,,,,,
1385334456,puebla,terrenos,https://terreno.metroscubicos.com/MLM-1385334456-terrenos-campestres-en-venta-cerca-sisal-pueblo-magico-_JM,"$112,713",Hunucma,Sisal,382 m²,,,,,,,,,,,,,,,,,,,,,Otro,,,,,,,
1384840222,puebla,lotes,https://terreno.metroscubicos.com/MLM-1384840222-lotes-en-venta-semiurbanizados-en-chicxulub-residencial-_JM,"$292,687",Chicxulub Pueblo,Chicxulub,334 mÂ²,,,,,,,,,,,,,,,,,,,,,Otro,,,,,,,
1339310781,puebla,terreno,https://terreno.metroscubicos.com/MLM-1339310781-terreno-con-avance-de-construccion-en-chicxulub-pueblo-_JM,"$575,000",Chicxulub Pueblo,Chicxulub,394 mÂ²,,,,,,,,,,,,,,,,,,,,,Otro,,,,,,,
934305375,puebla,terreno,https://terreno.metroscubicos.com/MLM-934305375-terreno-pueblo-chicxulub-puerto-_JM,"$417,375",Progreso,Chicxulub,249 mÂ²,,,,,,,,0 MXN,,,,,,,,,,,,,Otro,,,,,,,
927035954,puebla,terreno,https://terreno.metroscubicos.com/MLM-927035954-terreno-barrio-santa-maria-_JM,"$7,921,200",Puebla,San AndrÃ©s Cholula,1584 mÂ²,,,,,,,,0 MXN,,,,,,,,,,,,,Otro,,,,,,,
905791989,puebla,habinta,https://terreno.metroscubicos.com/MLM-905791989-habinta-lotes-residenciales-_JM,"$307,500",Chicxulub Pueblo,Chicxulub,1 mÂ²,,,,,,,,,,,,,,,,,,,,,Otro,,,,,,,
863466996,puebla,terrenos,https://terreno.metroscubicos.com/MLM-863466996-terrenos-campestres-en-venta-a-25-min-de-la-costa-bosque-_JM,"$960,759",Chicxulub Pueblo,Chicxulub,2135 mÂ²,,,,,,,,,,,,,,,,,,,,,Otro,,,,,,,
765423291,puebla,terreno,https://terreno.metroscubicos.com/MLM-765423291-terreno-en-venta-en-san-francisco-totimehuacan-puebla-_JM,"$10,200,000",Puebla,San Francisco Totimehuacan,3741 mÂ²,,,,,,,,,,,,,,,,,,,,,Otro,,,,,,,
1417742235,puebla,venta,https://terreno.metroscubicos.com/MLM-1417742235-venta-de-terrenos-en-el-pueblo-magico-de-izamal-_JM,"$420,000",YucatÃ¡n,Izamal,366 mÂ²,,,,,,,,,,,,,,,,,,,,,Ripio,,,,,,,
1416191247,puebla,venta,https://terreno.metroscubicos.com/MLM-1416191247-venta-de-terreno-de-150-m2-lomas-de-angelopolis-excelente-precio-_JM,"$1,054,543",San AndrÃ©s Cholula,Lomas de AngelÃ³polis II,150 mÂ²,,,,,,,,,,,,,,,,,,,,,-,,,,,,,
1415813874,puebla,terreno,https://terreno.metroscubicos.com/MLM-1415813874-terreno-en-venta-en-yucatan-en-chicxulub-pueblo-ideal-para-p-_JM,"$859,333",Chicxulub Pueblo,Chicxulub,1953 mÂ²,,,,,,,,,,,,,,,,,,,,,Otro,,,,,,,
1408743290,puebla,terreno,https://terreno.metroscubicos.com/MLM-1408743290-terreno-en-venta-en-poblacion-de-san-jeronimo-almoloya-municipio-de-cuautinchan-puebla-_JM,"$6,666,800",Puebla,Cuautinchan,16667 mÂ²,,,,,,,,0 MXN,,,,,,,,,,,,,Otro,,,,,,,
1408743289,puebla,terreno,https://terreno.metroscubicos.com/MLM-1408743289-terreno-en-venta-en-lomas-de-angelopolis-san-andres-cholula-puebla-_JM,"$1,928,500",San AndrÃ©s Cholula,Lomas de AngelÃ³polis,190 mÂ²,,,,,,,,0 MXN,,,,,,,,,,,,,Otro,,,,,,,
1408292624,puebla,terreno,https://terreno.metroscubicos.com/MLM-1408292624-terreno-pueblo-temozon-norte-_JM,"$2,300,000",YucatÃ¡n,MÃ©rida,510 mÂ²,,,,,,,,0 MXN,,,,,,,,,,,,,Otro,,,,,,,
1403117664,puebla,chicxulub,https://terreno.metroscubicos.com/MLM-1403117664-chicxulub-pueblo-113-d-terreno-_JM,"$575,000",YucatÃ¡n,Chicxulub Pueblo,394 mÂ²,,,,,,,,0 MXN,,,,,,,,,,,,,Otro,,,,,,,
1402625754,puebla,lotes,https://terreno.metroscubicos.com/MLM-1402625754-lotes-en-venta-en-carretera-conkal-a-chicxulub-puerto-_JM,"$300,000",Chicxulub Pueblo,Chicxulub,200 m²,,,,,,,,,,,,,,,,,,,,,Otro,,,,,,,
1397708735,puebla,terreno,https://terreno.metroscubicos.com/MLM-1397708735-terreno-comercial-en-venta-vendo-terreno-a-pie-de-carretera-en-pueblo-magico-de-real-del-monte--_JM,"$12,924,755",Pachuca De Soto,Magisterio,46159 m²,,,,,,,,,,,,,,,,,,,,,-,,,,,,,
1397650756,puebla,terreno,https://terreno.metroscubicos.com/MLM-1397650756-terreno-en-venta-remato-terreno-en-el-pueblo-magico-de-real-del-monte--_JM,"$12,924,755",Mineral Del Monte,Mineral Del Monte,46159 m²,,,,,,,,,,,,,,,,,,,,,-,,,,,,,
1396053801,puebla,terrenos,https://terreno.metroscubicos.com/MLM-1396053801-terrenos-residenciales-a-pocos-minutos-de-chibxulub-puerto-_JM,"$298,272",Chicxulub Pueblo,Chicxulub,250 m²,,,,,,,,,,,,,,,,,,,,,Otro,,,,,,,
1394941440,puebla,terreno,https://terreno.metroscubicos.com/MLM-1394941440-terreno-residencial-en-venta-en-chicxulub-pueblo-214646jl-_JM,"$185,106",Yucatán,Chicxulub Pueblo,133 m²,,,,,,,,,,,,,,,,,,,,,Ripio,,,,,,,
1388929525,puebla,terreno,https://terreno.metroscubicos.com/MLM-1388929525-terreno-pueblo-telchac-puerto-_JM,"$677,074",YucatÃ¡n,Telchac Puerto,294 mÂ²,,,,,,,,0 MXN,,,,,,,,,,,,,Otro,,,,,,,
1385510234,puebla,terreno,https://terreno.metroscubicos.com/MLM-1385510234-terreno-pueblo-chabihau-_JM,"$82,527",Yobain,Chabihau,208 mÂ²,,,,,,,,0 MXN,,,,,,,,,,,,,Otro,,,,,,,
1385552246,puebla,terreno,https://terreno.metroscubicos.com/MLM-1385552246-terreno-en-venta-santiago-mixquitla-_JM,"$1,269,940",San Pedro Cholula,Santiago Mixquitla,146 mÂ²,,,,,,,,,,,,,,,,,,,,,-,,,,,,,
