ID,entidad,tipo,link,precio,municipio,colonia,Superficie total,Superficie construida,Ambientes,Recámaras,Baños,Estacionamientos,Bodegas,Tipo de casa,Orientación,Antigüedad,Cuota mensual de mantenimiento,RecÃ¡maras,BaÃ±os,AntigÃ¼edad,Cantidad de pisos,Tipo de propiedad,OrientaciÃ³n,Tipo de departamento,Departamentos por piso,Número de piso de la unidad,NÃºmero de piso de la unidad,Disposición,Acceso,Forma del terreno,DisposiciÃ³n del lote,Metros de frente,Metros de fondo,Disposición del lote
1317013276,jalisco,9294,https://departamento.metroscubicos.com/MLM-1317013276-9294-c-jesus-garcia-prados-de-providencia-_JM,"$6,378,155",Guadalajara,Prados De Providencia,161 m²,161 m²,,2,2,2,,,,,,,,,,,,,,,,,,,,,,
1317161339,jalisco,d729,https://departamento.metroscubicos.com/MLM-1317161339-d729-av-guadalupe-nuestra-senora-de-guadalupe-_JM,"$5,000,000",Zapopan,Arcos De Guadalupe,94 m²,94 m²,,2,2,1,,,,,,,,,,,,,,,,,,,,,,
1400197274,jalisco,penthouse,https://departamento.metroscubicos.com/MLM-1400197274-penthouse-cima-real-_JM,"$18,000,000",Zapopan,Valle Real,540 m²,540 m²,,3,4,3,1,,,,8000 MXN,,,,2,,,,,,,,,,,,,
1411115550,jalisco,19216,https://departamento.metroscubicos.com/MLM-1411115550-19216-av-mariano-otero-arboledas-_JM,"$1,995,000",Zapopan,Arboledas,92 m²,92 m²,,3,2,1,,,,,,,,,,,,,,,,,,,,,,
1376605278,jalisco,d1324,https://departamento.metroscubicos.com/MLM-1376605278-d1324-av-miguel-hidalgo-y-costilla-lafayette-_JM,"$3,438,860",Guadalajara,Lafayette,62 m²,62 m²,,1,1,1,,,,,,,,,,,,,,,,,,,,,,
1362998886,jalisco,12865,https://departamento.metroscubicos.com/MLM-1362998886-12865-av-ruben-dario-colomos-providencia-_JM,"$4,350,000",Guadalajara,Colomos Providencia,93 m²,93 m²,,2,2,1,,,,,,,,,,,,,,,,,,,,,,
1343409553,jalisco,departamento,https://departamento.metroscubicos.com/MLM-1343409553-departamento-en-venta-en-torre-zentral-en-la-torre-1-_JM,"$4,150,000",Zapopan,Santa Margarita Residencial,107 m²,107 m²,4,2,2,2,,,,0 años,,,,,,,,,,,,,,,,,,
1402037028,jalisco,departamento,https://departamento.metroscubicos.com/MLM-1402037028-departamento-en-venta-en-jalisco-zapopan-_JM,"$1,684,037",Jalisco,Zapopan,65 m²,,,2,1,,,,,0 años,0 MXN,,,,,,,,,,,,,,,,,
1383180696,jalisco,chinas,https://departamento.metroscubicos.com/MLM-1383180696-chinas-conchas-departamentos-en-pre-venta-en-puerto-vallarta-_JM,"U$S414,110",Puerto Vallarta,Conchas Chinas,108.45 m²,108.45 m²,,2,2,1,,,,1 años,,,,,,,,,,,,,,,,,,
1362980522,jalisco,13046,https://departamento.metroscubicos.com/MLM-1362980522-13046-alfonso-cravioto-jardines-alcalde-_JM,"$2,650,000",Guadalajara,Jardines Alcalde,55 m²,55 m²,,1,1,1,,,,,,,,,,,,,,,,,,,,,,
804227203,jalisco,magnifica,https://departamento.metroscubicos.com/MLM-804227203-magnifica-vista-a-la-montana-venta-de-departamentos-en-puerto-vallarta-desarrollo-entornos-_JM,"$2,393,000",Jalisco,Puerto Vallarta,76 m²,76 m²,,2,2,,,,,,,,,,,,,,,,,,,,,,,
917197723,jalisco,departamento,https://departamento.metroscubicos.com/MLM-917197723-departamento-en-venta-en-country-club-en-guadalajara-jalisco-_JM,"$8,500,000",Guadalajara,Country Club,24 m²,240 m²,,3,3,2,2,,,35 años,8000 MXN,,,,20,,,,2,,,,,,,,,
1406967251,jalisco,departamentos,https://departamento.metroscubicos.com/MLM-1406967251-departamentos-en-pre-venta-en-puerto-vallarta-con-gran-potencial-de-renta-_JM,"$6,000,000",Puerto Vallarta,Zona Hotelera Norte,,98 m²,,2,2,,,,,,,,,,,,,,,,,,,,,,,
1400183814,jalisco,d1522,https://departamento.metroscubicos.com/MLM-1400183814-d1522-lopez-cotilla-americana-_JM,"$2,605,000",Guadalajara,Americana,48 m²,48 m²,,1,1,1,,,,,,,,,,,,,,,,,,,,,,
1393713586,jalisco,espectacular,https://departamento.metroscubicos.com/MLM-1393713586-espectacular-departamento-en-landmark-el-modelo-mas-amplio-e-_JM,"$15,000,000",Zapopan,Puerta De Hierro,172 m²,172 m²,5,2,2,2,,,,0 años,,,,,,,,,,,,,,,,,,
1393681143,jalisco,departamentos,https://departamento.metroscubicos.com/MLM-1393681143-departamentos-de-lujo-en-arcos-vallarta-_JM,"$4,300,000",Guadalajara,Arcos Vallarta,108 m²,108 m²,4,2,2,2,,,,0 años,,,,,,,,,,,,,,,,,,
