ID,entidad,tipo,link,precio,municipio,colonia,Superficie total,Superficie construida,Recámaras,Baños,Estacionamientos,Orientación,Antigüedad,Ambientes,Bodegas,Cantidad de pisos,Cuota mensual de mantenimiento,RecÃ¡maras,BaÃ±os,OrientaciÃ³n,AntigÃ¼edad,Tipo de casa,Tipo de propiedad,Departamentos por piso,Número de piso de la unidad,Disposición,NÃºmero de piso de la unidad,Acceso,Metros de frente,Metros de fondo,Forma del terreno,Disposición del lote,DisposiciÃ³n del lote,DisposiciÃ³n
1409358254,sinaloa,casa,https://casa.metroscubicos.com/MLM-1409358254-casa-en-venta-en-fraccionamiento-rincon-de-urias-en-mazatlan-sinaloa-_JM,"$850,000",MazatlÃ¡n,RincÃ³n De Urias,70 mÂ²,140 mÂ²,,,,,,,,2,,4,2,,,,,,,,,,,,,,,
951155709,sinaloa,casa,https://casa.metroscubicos.com/MLM-951155709-casa-venta-la-primavera-culiacan-23500000-galnav-rg1-_JM,"$23,500,000",Culiacán,La Primavera,1649 m²,539 m²,3,3,4,,0 años,9,,,,,,,,,,,,,,,,,,,,
1390385242,sinaloa,casa,https://casa.metroscubicos.com/MLM-1390385242-casa-de-lujo-en-venta-fraccionamiento-lomas-de-mazatlan-_JM,"$14,400,000",Mazatlán,Fracc. Lomas De Mazatlán,689 m²,703 m²,5,5,,,,,,3,,,,,,,,,,,,,,,,,,
1314409196,sinaloa,nuevo,https://casa.metroscubicos.com/MLM-1314409196-nuevo-residencial-con-plusvalia-garantizada-_JM,"$1,785,000",MazatlÃ¡n,SÃ¡balo Cerritos,128 mÂ²,84 mÂ²,,,2,,,,,,850 MXN,3,2,,0 aÃ±os,,,,,,,,,,,,,
1340286724,sinaloa,casas,https://casa.metroscubicos.com/MLM-1340286724-casas-y-departamentos-en-venta-almarena-residencial-en-mazatlan-_JM,"$2,862,000",MazatlÃ¡n,SÃ¡balo Cerritos,119 mÂ²,105 mÂ²,,,2,,,,,,,,2,,0 aÃ±os,,,,,,,,,,,,,
1350902499,sinaloa,casa,https://casa.metroscubicos.com/MLM-1350902499-casa-en-venta-en-balcones-de-san-miguel-culiacan-_JM,"$7,000,000",Culiacán,Balcones De San Miguel,380 m²,400 m²,3,3,2,,10 años,,1,2,,,,,,Casa,Casa sola,,,,,,,,,,,
764172822,sinaloa,casa,https://casa.metroscubicos.com/MLM-764172822-casa-fraccionamiento-colinas-de-san-miguel-_JM,"$6,300,000",Culiacán,Colinas De San Miguel,282 m²,282 m²,3,3,2,,0 años,,,3,1000 MXN,,,,,,,,,,,,,,,,,
1390411235,sinaloa,hermosa,https://casa.metroscubicos.com/MLM-1390411235-hermosa-casa-en-belisario-dominguez-a-solo-unas-cuadras-del-malecon-_JM,"$5,650,000",Mazatlán,Centro,413 m²,,6,4,,,,,,,,,,,,,,,,,,,,,,,,
1350908911,sinaloa,casa,https://casa.metroscubicos.com/MLM-1350908911-casa-en-venta-en-residencial-sonterra-mazatlan-sin-_JM,"$2,617,240",Mazatlán,Mazatlán Centro,140 m²,120 m²,3,2,2,,0 años,,1,2,,,,,,Casa,Casa sola,,,,,,,,,,,
935545919,sinaloa,rg,https://casa.metroscubicos.com/MLM-935545919-rg-remate-venta-casa-benito-juarez-mazatlan-sinaloa-no-credi-_JM,"$1,129,926",Mazatlán,Benito Juárez,121 m²,150 m²,3,2,2,,,,,,,,,,,,,,,,,,,,,,,
1390404768,sinaloa,casa,https://casa.metroscubicos.com/MLM-1390404768-casa-en-venta-fracc-el-cid-mazatlan-_JM,"$8,590,000",Sinaloa,Mazatlán,487 m²,800 m²,4,3,,,,,,,,,,,,,,,,,,,,,,,,
1390378798,sinaloa,espectacular,https://casa.metroscubicos.com/MLM-1390378798-espectacular-residencia-ubicada-en-uno-de-los-fraccionamientos-mas-centricos-y-comodos-para-vivir-en-mazatlan-_JM,"$3,200,000",Mazatlán,El Toreo,126 m²,150 m²,3,2,,,,,,2,,,,,,,,,,,,,,,,,,
1381539860,sinaloa,1camt,https://casa.metroscubicos.com/MLM-1381539860-1camt-bonita-casa-en-venta-atraves-de-remate-bancario-cesion-de-derecho-bancario-fracc-rincon-santa-rosa-culiacan-nuevo-leon-2-recamaras-1-bano-1-estacionamiento-_JM,"$624,000",Culiacán,Barrancos Infonavit,70 m²,100 m²,2,1,1,,,,,,,,,,,,,,,,,,,,,,,
1414756043,sinaloa,increible,https://casa.metroscubicos.com/MLM-1414756043-increible-jardin-el-cid-_JM,"U$S325,000",Mazatlán,El Cid,330 m²,193 m²,3,2,,,,,,,,,,,,,,,,,,,,,,,,
764169554,sinaloa,casa,https://casa.metroscubicos.com/MLM-764169554-casa-fraccionamiento-colinas-de-san-miguel-_JM,"$5,173,034",Culiacán,Colinas De San Miguel,135 m²,246 m²,3,3,2,,0 años,,,2,0 MXN,,,,,,,,,,,,,,,,,
