ID,entidad,tipo,link,precio,municipio,colonia,Superficie total,Superficie construida,Ambientes,Recámaras,Baños,Estacionamientos,Bodegas,Tipo de casa,Orientación,Antigüedad,Cuota mensual de mantenimiento,RecÃ¡maras,BaÃ±os,AntigÃ¼edad,Cantidad de pisos,Tipo de propiedad,OrientaciÃ³n,Tipo de departamento,Departamentos por piso,Número de piso de la unidad,NÃºmero de piso de la unidad,Disposición,Acceso,Forma del terreno,DisposiciÃ³n del lote,Metros de frente,Metros de fondo,Disposición del lote,DisposiciÃ³n
1380441300,morelos,armoni,https://departamento.metroscubicos.com/MLM-1380441300-armoni-bosque-de-tamarindos-renta-o-vende-_JM,"$16,900,000",Cuajimalpa De Morelos,Palo Alto,280 m²,280 m²,,3,4,3,1,,,10 años,,,,,6,,,,,,,,,,,,,,
1387526520,morelos,venta,https://departamento.metroscubicos.com/MLM-1387526520-venta-de-departamento-en-buenavista-cuernavacaclave-3847-_JM,"$2,750,000",Cuernavaca,Buenavista,120 m²,117 m²,,3,2,2,,,,8 años,,,,,7,,,,,,,,,,,,,,
1349430236,morelos,12005,https://departamento.metroscubicos.com/MLM-1349430236-12005-prol-jose-maria-castorena-el-molino-_JM,"$2,800,000",Cuajimalpa De Morelos,El Molino,73 m²,73 m²,,1,1,2,,,,,,,,,,,,,,,,,,,,,,,
1319542556,morelos,9578,https://departamento.metroscubicos.com/MLM-1319542556-9578-palo-alto-campestre-palo-alto-_JM,"$2,900,000",Cuajimalpa De Morelos,Campestre Palo Alto,83 m²,83 m²,,2,2,1,,,,,,,,,,,,,,,,,,,,,,,
1418837542,morelos,departamento,https://departamento.metroscubicos.com/MLM-1418837542-departamento-bosques-de-las-lomas-torre-altus-_JM,"U$S2,990,000",Cuajimalpa De Morelos,Bosques de las Lomas,600 m²,600 m²,8,3,4,6,,,,22 años,,,,,,,,,,,,,,,,,,,
1417954891,morelos,super,https://departamento.metroscubicos.com/MLM-1417954891-super-departamento-exclusivo-condominio-en-vidalta-edifi-_JM,"U$S2,250,000",Cuajimalpa De Morelos,Bosques de las Lomas,450 m²,450 m²,7,3,3,4,,,,0 años,,,,,,,,,,,,,,,,,,,
1386257080,morelos,departamento,https://departamento.metroscubicos.com/MLM-1386257080-departamento-en-venta-lomas-de-vistahermosa-_JM,"$12,900,000",Cuajimalpa De Morelos,Lomas De Vista Hermosa,,242 m²,,3,2,3,1,,,10 años,,,,,4,,,,,,,,,,,,,,
1358534919,morelos,hermoso,https://departamento.metroscubicos.com/MLM-1358534919-hermoso-departamento-en-secretaria-de-marina-_JM,"$9,900,000",Cuajimalpa De Morelos,Lomas Del Chamizal,294 m²,294 m²,5,2,2,3,,,,16 años,,,,,,,,,,,,,,,,,,,
927012847,morelos,hermoso,https://departamento.metroscubicos.com/MLM-927012847-hermoso-departamento-con-vista-espectacular-_JM,"$10,590,000",Cuajimalpa De Morelos,El Yaqui,,188 m²,2,2,2,2,,,Norte,15 años,4100 MXN,,,,1,,,,,,,,,,,,,,
1421735460,morelos,venta,https://departamento.metroscubicos.com/MLM-1421735460-venta-departamento-en-paseo-de-la-reforma-santa-fe-_JM,"$4,080,000",Cuajimalpa De Morelos,Santa Fe Cuajimalpa,70 m²,70 m²,2,1,1,1,,,,0 años,,,,,,,,,,,,,,,,,,,
1419464683,morelos,departamento,https://departamento.metroscubicos.com/MLM-1419464683-departamento-en-venta-en-la-cumbre-bosques-de-las-lomas-m2d-_JM,"$15,600,000",Cuajimalpa De Morelos,Bosques de las Lomas,336 m²,336 m²,7,3,3,4,,,,0 años,,,,,,,,,,,,,,,,,,,
1419573625,morelos,departamento,https://departamento.metroscubicos.com/MLM-1419573625-departamento-ph-en-venta-bosques-de-las-lomas-m2d1820-_JM,"$6,555,000",Cuajimalpa De Morelos,Bosques de las Lomas,205 m²,205 m²,7,3,2,4,,,,0 años,,,,,,,,,,,,,,,,,,,
1414461412,morelos,departamento,https://departamento.metroscubicos.com/MLM-1414461412-departamento-en-venta-en-santa-fe-_JM,"$14,700,000",Cuajimalpa De Morelos,Santa Fe Cuajimalpa,,285 m²,,3,3,3,1,,,12 años,,,,,,,,,,,,,,,,,,,
1414123926,morelos,departamentos,https://departamento.metroscubicos.com/MLM-1414123926-departamentos-en-venta-en-over-santa-fe-_JM,"$8,524,000",Cuajimalpa De Morelos,Santa Fe Cuajimalpa,92 m²,92 m²,4,2,2,2,,,,0 años,,,,,,,,,,,,,,,,,,,
1413616301,morelos,venta,https://departamento.metroscubicos.com/MLM-1413616301-venta-departamento-privada-tamarindos-bosques-de-las-lomas-_JM,"$12,900,000",Cuajimalpa De Morelos,Granjas Palo Alto,305 m²,305 m²,7,3,3,2,,,,11 años,,,,,,,,,,,,,,,,,,,
1413398473,morelos,departamento,https://departamento.metroscubicos.com/MLM-1413398473-departamento-ph-en-venta-en-cuajimalpa-_JM,"$14,800,000",Cuajimalpa De Morelos,Cuajimalpa,336 m²,336 m²,7,3,3,4,,,,35 años,,,,,,,,,,,,,,,,,,,
1413154051,morelos,departamento,https://departamento.metroscubicos.com/MLM-1413154051-departamento-en-venta-en-manzanastitla-cuajimalpa-de-morelos-distrito-federal-_JM,"$3,600,000",Cuajimalpa De Morelos,Manzanastitla,,132 m²,,3,3,1,,,,18 años,,,,,,,,,,,,,,,,,,,
1412998355,morelos,venta,https://departamento.metroscubicos.com/MLM-1412998355-venta-exclusivo-departamento-en-bosques-de-las-lomas-_JM,"$26,500,000",Cuajimalpa De Morelos,Bosques de las Lomas,410 m²,410 m²,7,3,3,4,,,,8 años,,,,,,,,,,,,,,,,,,,
1411545259,morelos,lomas,https://departamento.metroscubicos.com/MLM-1411545259-lomas-de-vista-hermosa-excelente-departamento-en-venta-o-ren-_JM,"$11,900,000",Cuajimalpa De Morelos,Lomas De Vista Hermosa,305 m²,305 m²,7,3,3,2,,,,0 años,,,,,,,,,,,,,,,,,,,
