ID,entidad,tipo,link,precio,municipio,colonia,Superficie total,Superficie construida,Ambientes,Recámaras,Baños,Estacionamientos,Tipo de casa,Antigüedad,Cuota mensual de mantenimiento,RecÃ¡maras,BaÃ±os,Bodegas,AntigÃ¼edad,OrientaciÃ³n,Orientación,Cantidad de pisos,Tipo de propiedad,Tipo de departamento,Disposición,Departamentos por piso,Número de piso de la unidad,Acceso,Metros de frente,Metros de fondo,Forma del terreno,DisposiciÃ³n del lote,Disposición del lote,NÃºmero de piso de la unidad,DisposiciÃ³n,Baños por piso,Número de oficinas,Oficinas por piso,Admite mascotas,Tipo de bodega,Altura,Plataformas para trailers,Soporte de piso,Huéspedes,Camas,Estadía mínima (noches),Horario check in,Horario check out,NÃºmero de oficinas
1422742690,querétaro,casa,https://casa.metroscubicos.com/MLM-1422742690-casa-queretaro-_JM,"$1,296,900",Querétaro,Querétaro,120 m²,,,3,2,,,1 años,0 MXN,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
1425475579,querétaro,casa,https://casa.metroscubicos.com/MLM-1425475579-casa-en-venta-club-campestre-queretaro-_JM,"$25,500,000",Querétaro,Club Campestre De Querétaro,1008 m²,,,5,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1424079010,querétaro,casa,https://casa.metroscubicos.com/MLM-1424079010-casa-en-venta-cumbres-de-juriquilla-310000000-en-privada-con-roof-_JM,"$3,100,000",QuerÃ©taro,Cumbres Del Lago,151 mÂ²,183 mÂ²,,,,,,,,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1423381511,querétaro,casa,https://casa.metroscubicos.com/MLM-1423381511-casa-en-venta-juriquilla-queretaro-san-isidro-amenidades-con-alberca-y-casa-club-vigilancia-247-ziburua-pamplona-_JM,"$2,392,086",Querétaro,Querétaro,110 m²,120 m²,,3,2,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
1423393778,querétaro,tequisquiapan,https://casa.metroscubicos.com/MLM-1423393778-tequisquiapan-hermosa-casa-en-venta--_JM,"$8,000,000",Tequisquiapan,Tequisquiapan,2500 mÂ²,480 mÂ²,8,,,4,,,,4,3,,0 aÃ±os,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1425974619,querétaro,casa,https://casa.metroscubicos.com/MLM-1425974619-casa-venta-centrica-el-mirador-queretaro-_JM,"$2,850,000",El MarquÃ©s,El Mirador,128 mÂ²,160 mÂ²,7,,,3,,,,4,3,,0 aÃ±os,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1424107864,querétaro,casa,https://casa.metroscubicos.com/MLM-1424107864-casa-en-venta-en-arboleda-1-juriquilla-_JM,"$3,300,000",QuerÃ©taro,Nuevo Juriquilla,197 mÂ²,180 mÂ²,3,,,2,,,1100 MXN,3,2,,8 aÃ±os,Norte,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
1423449227,querétaro,casa,https://casa.metroscubicos.com/MLM-1423449227-casa-de-3-habestudio-en-altos-juriquilla-_JM,"$5,250,000",Querétaro,Juriquilla,179 m²,255 m²,7,3,4,2,,0 años,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1425974432,querétaro,magnifica,https://casa.metroscubicos.com/MLM-1425974432-magnifica-casa-en-venta-en-jurica-queretaro-qro-_JM,"$14,500,000",QuerÃ©taro,Jurica,1565 mÂ²,463 mÂ²,,,,,,,,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1425298205,querétaro,hermosa,https://casa.metroscubicos.com/MLM-1425298205-hermosa-y-lujosa-casa-en-venta-fraccionamiento-vista-real-_JM,"$17,800,000",Corregidora,Vista Real y Country Club,859 m²,,,4,5,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
