ID,entidad,tipo,link,precio,municipio,colonia,Superficie total,Superficie construida,Ambientes,Recámaras,Baños,Estacionamientos,Bodegas,Cantidad de pisos,Orientación,Antigüedad,Cuota mensual de mantenimiento,RecÃ¡maras,BaÃ±os,AntigÃ¼edad,Tipo de casa,Tipo de propiedad,OrientaciÃ³n,Departamentos por piso,Número de piso de la unidad,Disposición,NÃºmero de piso de la unidad,Acceso,Metros de frente,Metros de fondo,Forma del terreno,DisposiciÃ³n del lote,Tipo de departamento,Disposición del lote
951001597,baja-california,departamento,https://departamento.metroscubicos.com/MLM-951001597-departamento-en-venta-playas-de-tijuana-seccion-costa-de-oro-_JM,"U$S131,550",Tijuana,Playas de Tijuana Sección Costa de Oro,,55 m²,,1,1,,,,,2 años,,,,,,,,,,,,,,,,,,
1400247581,baja-california,departamento,https://departamento.metroscubicos.com/MLM-1400247581-departamento-en-venta-baja-maq-el-aguila-_JM,"$260,000",Tijuana,Baja Maq. El Aguila,,49 m²,,2,1,,,,,0 años,,,,,,,,,,,,,,,,,,
1393597841,baja-california,departamento,https://departamento.metroscubicos.com/MLM-1393597841-departamento-en-venta-cabo-san-lucas-centro-_JM,"$3,700,000",Los Cabos,Cabo San Lucas Centro,,124 mÂ²,,,,,,,,,,2,2,0 aÃ±os,,,,,,,,,,,,,,
1393578469,baja-california,departamento,https://departamento.metroscubicos.com/MLM-1393578469-departamento-en-venta-cabo-san-lucas-centro-_JM,"U$S290,600",Los Cabos,Cabo San Lucas Centro,,135 m²,,2,2,,,,,0 años,,,,,,,,,,,,,,,,,,
1384790729,baja-california,departamento,https://departamento.metroscubicos.com/MLM-1384790729-departamento-en-venta-el-tezal-_JM,"$3,700,000",Los Cabos,El Tezal,,124 m²,,2,2,,,,,0 años,,,,,,,,,,,,,,,,,,
951004188,baja-california,departamento,https://departamento.metroscubicos.com/MLM-951004188-departamento-en-venta-madero-cacho-_JM,"U$S556,150",Tijuana,Madero (Cacho),,111 m²,,2,2,,,,,2 años,,,,,,,,,,,,,,,,,,
951008383,baja-california,departamento,https://departamento.metroscubicos.com/MLM-951008383-departamento-en-venta-la-pechuga-_JM,"U$S128,753",Tijuana,La Pechuga,,39 m²,,1,1,,,,,2 años,,,,,,,,,,,,,,,,,,
1420255065,baja-california,the,https://departamento.metroscubicos.com/MLM-1420255065-the-cliff-condos-los-cabos-preventa-_JM,"U$S300,000",Los Cabos,El Tezal,148 m²,148 m²,6,3,3,1,,,,,,,,,,,,,,,,,,,,,,
1408121191,baja-california,departamento,https://departamento.metroscubicos.com/MLM-1408121191-departamento-en-venta-el-tezal-_JM,"$3,700,000",Los Cabos,El Tezal,,100 m²,,2,2,,,,,0 años,,,,,,,,,,,,,,,,,,
1401140104,baja-california,departamento,https://departamento.metroscubicos.com/MLM-1401140104-departamento-en-venta-cabo-san-lucas-centro-_JM,"$3,700,000",Los Cabos,Cabo San Lucas Centro,,200 m²,,2,2,,,,,0 años,,,,,,,,,,,,,,,,,,
1306777957,baja-california,departamento,https://departamento.metroscubicos.com/MLM-1306777957-departamento-en-venta-colinas-del-alamar-torres-del-lago-_JM,"$460,000",Tijuana,Colinas del Alamar,,61 m²,,2,1,,,,,0 años,,,,,,,,,,,,,,,,,,
1306856262,baja-california,departamento,https://departamento.metroscubicos.com/MLM-1306856262-departamento-en-venta-baja-maq-el-aguila-_JM,"$260,000",Tijuana,Baja Maq. El Aguila,,49 m²,,2,1,,,,,0 años,,,,,,,,,,,,,,,,,,
1397882501,baja-california,departamento,https://departamento.metroscubicos.com/MLM-1397882501-departamento-en-venta-pueblo-bonito-sunset-_JM,"$3,700,000",Los Cabos,Colonia Pablo L Martinez,,200 m²,,2,2,,,,,0 años,,,,,,,,,,,,,,,,,,
1395669698,baja-california,departamento,https://departamento.metroscubicos.com/MLM-1395669698-departamento-en-venta-centro-_JM,"U$S254,000",Los Cabos,Centro (Privada Perla),,135 m²,,2,2,,,,,0 años,,,,,,,,,,,,,,,,,,
1408013145,baja-california,departamento,https://departamento.metroscubicos.com/MLM-1408013145-departamento-en-venta-real-de-miramar-_JM,"$1,600,000",Los Cabos,Real De Miramar,,100 m²,,2,2,,,,,0 años,,,,,,,,,,,,,,,,,,
1407127822,baja-california,departamento,https://departamento.metroscubicos.com/MLM-1407127822-departamento-en-venta-pueblo-bonito-sunset-_JM,"U$S254,000",Los Cabos,Colonia Pablo L Martinez,,100 m²,,2,2,,,,,0 años,,,,,,,,,,,,,,,,,,
1420650088,baja-california,departamento,https://departamento.metroscubicos.com/MLM-1420650088-departamento-en-venta-tejamen-_JM,"$4,269,682",Tijuana,Tejamen,,95 m²,,3,3,,,,,0 años,,,,,,,,,,,,,,,,,,
1407975310,baja-california,departamento,https://departamento.metroscubicos.com/MLM-1407975310-departamento-en-venta-el-tezal-_JM,"$4,100,000",Los Cabos,El Tezal,,100 m²,,2,2,,,,,0 años,,,,,,,,,,,,,,,,,,
1306797065,baja-california,departamento,https://departamento.metroscubicos.com/MLM-1306797065-departamento-en-venta-baja-maq-el-aguila-_JM,"$215,000",Tijuana,Baja Maq. El Aguila,,49 m²,,2,1,,,,,0 años,,,,,,,,,,,,,,,,,,
951008384,baja-california,departamento,https://departamento.metroscubicos.com/MLM-951008384-departamento-en-venta-playas-de-tijuana-seccion-costa-de-oro-_JM,"U$S311,696",Tijuana,Playas de Tijuana Sección Costa de Oro,,123 m²,,3,2,,,,,2 años,,,,,,,,,,,,,,,,,,
951008386,baja-california,departamento,https://departamento.metroscubicos.com/MLM-951008386-departamento-en-venta-agua-caliente-_JM,"U$S275,640",Tijuana,Agua Caliente,,128 m²,,2,2,,,,,2 años,,,,,,,,,,,,,,,,,,
951004183,baja-california,departamento,https://departamento.metroscubicos.com/MLM-951004183-departamento-en-venta-la-pechuga-_JM,"U$S308,954",Tijuana,La Pechuga,,115 m²,,3,2,,,,,2 años,,,,,,,,,,,,,,,,,,
1399655076,baja-california,009,https://departamento.metroscubicos.com/MLM-1399655076-009-25-hermoso-departamento-en-la-condesa-baja-california-252-oferta-_JM,"$819,000",Cuauhtémoc,Hipodromo Condesa,130 m²,130 m²,,3,3,2,,,,,2 MXN,,,,,,,,,,,,,,,,,
1355310006,baja-california,departamento,https://departamento.metroscubicos.com/MLM-1355310006-departamento-en-en-preventa-en-plaza-alameda-otay-tijuana-bc-_JM,"U$S251,642",Tijuana,Garita Otay,81.8 m²,78.3 m²,,2,2,2,,,,0 años,,,,,,,,,,,,,,,,,,
951011722,baja-california,departamento,https://departamento.metroscubicos.com/MLM-951011722-departamento-en-venta-agua-caliente-_JM,"U$S366,530",Tijuana,Agua Caliente,,175 m²,,3,3,,,,,2 años,,,,,,,,,,,,,,,,,,
1390424458,baja-california,departamento,https://departamento.metroscubicos.com/MLM-1390424458-departamento-en-zona-centro-_JM,"U$S168,150",Tijuana,Zona Centro,,58 m²,,1,1,,,1,,,,,,,,,,,,,,,,,,,,
