ID,entidad,tipo,link,precio,municipio,colonia,Superficie total,Ambientes,Recámaras,Baños,Estacionamientos,Cantidad de pisos,Antigüedad,Cuota mensual de mantenimiento,Superficie construida,RecÃ¡maras,BaÃ±os,AntigÃ¼edad,Orientación,Bodegas,Tipo de propiedad,Departamentos por piso,Número de piso de la unidad,Disposición,Acceso,Metros de frente,Metros de fondo,DisposiciÃ³n del lote,Forma del terreno
1338062818,campeche,imponente,https://casa.metroscubicos.com/MLM-1338062818-imponente-propiedad-de-construccion-doble-_JM,"$16,000,000",Carmen,1 De Mayo (Playón),2253 m²,,3,6,4,,4 años,,1159 m²,,,,,,,,,,,,,,
1365221327,campeche,casa,https://casa.metroscubicos.com/MLM-1365221327-casa-sola-en-venta-isla-aguada-_JM,"$650,000",Carmen,Isla De Aguada,200 mÂ²,,,,,,,,85 mÂ²,2,1,0 aÃ±os,,,,,,,,,,,
949394539,campeche,casa,https://casa.metroscubicos.com/MLM-949394539-casa-en-venta-colonia-petrolera-ciudad-del-carmen-_JM,"$5,500,000",Campeche,Carmen,345 m²,,3,3,2,2,20 años,0 MXN,,,,,,,,,,,,,,,
941955055,campeche,venta,https://casa.metroscubicos.com/MLM-941955055-venta-en-fracc-18-de-marzo-_JM,"$2,600,000",Carmen,18 de Marzo,200 m²,9,4,4,1,,0 años,,1 m²,,,,,,,,,,,,,,
1417062398,campeche,casa,https://casa.metroscubicos.com/MLM-1417062398-casa-en-venta-en-palmira-carmen-campeche-dcch-_JM,"$1,417,112",Carmen,Palmiras,100 m²,,2,2,1,1,12 años,,120 m²,,,,,,,,,,,,,,
1394398026,campeche,casa,https://casa.metroscubicos.com/MLM-1394398026-casa-sola-en-venta-capistrano-_JM,"$1,100,000",Carmen,Fraccionamiento Capistrano,63 m²,,2,3,,,0 años,,100 m²,,,,,,,,,,,,,,
1405601486,campeche,bonita,https://casa.metroscubicos.com/MLM-1405601486-bonita-casa-en-villas-de-santa-ana-_JM,"$585,000",Carmen,1 De Mayo (Playón),42 m²,,1,1,,,11 años,,60 m²,,,,,,,,,,,,,,
1417088686,campeche,casa,https://casa.metroscubicos.com/MLM-1417088686-casa-en-venta-en-santa-rita-carmen-campeche-dcch-_JM,"$1,949,370",Carmen,Santa Rita,100 m²,,2,2,1,1,12 años,,110 m²,,,,,,,,,,,,,,
1338011332,campeche,villas,https://casa.metroscubicos.com/MLM-1338011332-villas-de-santa-ana-_JM,"$650,000",Carmen,1 De Mayo (Playón),42 m²,,2,1,1,,16 años,,88 m²,,,,,,,,,,,,,,
1384426716,campeche,casa,https://casa.metroscubicos.com/MLM-1384426716-casa-sola-en-venta-residencial-del-lago-_JM,"$3,200,000",Carmen,Residencial del Lago,360 m²,,3,4,,,0 años,,180 m²,,,,,,,,,,,,,,
871936819,campeche,venta,https://casa.metroscubicos.com/MLM-871936819-venta-en-fracc-bivalbo-_JM,"$4,300,000",Carmen,Bivalbo,840 m²,5,3,2,2,,0 años,,271 m²,,,,,,,,,,,,,,
1405595109,campeche,casa,https://casa.metroscubicos.com/MLM-1405595109-casa-en-calle-49-_JM,"$2,250,000",Carmen,Santa Margarita,410 m²,,2,2,2,,26 años,,120 m²,,,,,,,,,,,,,,
1400360963,campeche,casa,https://casa.metroscubicos.com/MLM-1400360963-casa-sola-en-venta-maderas-_JM,"$1,850,000",Carmen,Maderas,120 m²,,2,3,,,0 años,,112 m²,,,,,,,,,,,,,,
858516681,campeche,tierras,https://casa.metroscubicos.com/MLM-858516681-tierras-agricolas-a-pie-de-carretera-_JM,"$12,987,000",Campeche,Colonia San Francisco de Campeche Centro,3330000 m²,,,,,,0 años,,1 m²,,,,,,,,,,,,,,
1338011341,campeche,arrecifes,https://casa.metroscubicos.com/MLM-1338011341-arrecifes-residencial-_JM,"$612,000",Carmen,Residencial del Lago,160 mÂ²,,,,,,,,,,,0 aÃ±os,,,,,,,,,,,
1394340839,campeche,casa,https://casa.metroscubicos.com/MLM-1394340839-casa-sola-en-venta-real-del-carmen-_JM,"$2,580,000",Carmen,Real Del Carmen,180 m²,,3,3,,,0 años,,160 m²,,,,,,,,,,,,,,
1338004967,campeche,casa,https://casa.metroscubicos.com/MLM-1338004967-casa-en-venta-_JM,"$1,200,000",Carmen,Residencial San Miguel,61 m²,,2,2,1,,7 años,,135 m²,,,,,,,,,,,,,,
1408842990,campeche,casa,https://casa.metroscubicos.com/MLM-1408842990-casa-sola-en-venta-tecolutla-_JM,"$2,000,000",Carmen,Tecolutla,400 m²,,2,2,,,0 años,,400 m²,,,,,,,,,,,,,,
1421631392,campeche,casa,https://casa.metroscubicos.com/MLM-1421631392-casa-mision-del-carmen-_JM,"$708,000",Carmen,MisiÃ³n Del Carmen,90 mÂ²,,,,1,2,,0 MXN,,2,1,0 aÃ±os,,,,,,,,,,,
892643786,campeche,av,https://casa.metroscubicos.com/MLM-892643786-av-de-las-palmas-residencial-las-palmas-metepec-_JM,"$1,450,000",Carmen,Residencial Las Palmas,150 m²,,3,3,2,,,,270 m²,,,,,,,,,,,,,,
913300522,campeche,casas,https://casa.metroscubicos.com/MLM-913300522-casas-exclusivas-en-residencial-san-geronimo-cd-campeche-_JM,"$3,085,970",Campeche,Colonia Tepeyac,258.35 m²,,3,3,2,,,,229.36 m²,,,,,,,,,,,,,,
761649534,campeche,hermosa,https://casa.metroscubicos.com/MLM-761649534-hermosa-casa-colonial-con-amplio-terreno-en-campeche-_JM,"$4,500,000",Campeche,Colonia San Francisco de Campeche Centro,731 m²,5,3,2,,,,,225 m²,,,,,,,,,,,,,,
1374177690,campeche,casa,https://casa.metroscubicos.com/MLM-1374177690-casa-en-venta-en-calle-43-ciudad-del-carmen-campeche-rb-_JM,"$680,000",Carmen,Ciudad Del Carmen Centro,120 m²,,3,2,2,,,,120 m²,,,,,,,,,,,,,,
1308616418,campeche,casa,https://casa.metroscubicos.com/MLM-1308616418-casa-habitacion-con-privilegiado-terreno-y-area-excedente-_JM,"$1,200,000",Campeche,Carmen,219 m²,,2,2,1,,0 años,,75 m²,,,,,,,,,,,,,,
1318058404,campeche,venta,https://casa.metroscubicos.com/MLM-1318058404-venta-fracc-bugambilias-framboyanes-ciudad-del-carmen-_JM,"$2,000,000",Carmen,Bugambilias,1000 m²,,3,3,2,2,9 años,,156.82 m²,,,,Oriente,1,,,,,,,,,
1394215795,campeche,casa,https://casa.metroscubicos.com/MLM-1394215795-casa-sola-en-venta-hacienda-del-mar-_JM,"$1,890,000",Carmen,Hacienda del Mar,200 m²,,2,2,,,0 años,,120 m²,,,,,,,,,,,,,,
1353945661,campeche,casa,https://casa.metroscubicos.com/MLM-1353945661-casa-sola-en-venta-malibran-_JM,"$3,000,000",Carmen,Malibran,300 m²,,3,2,,,0 años,,200 m²,,,,,,,,,,,,,,
1398419090,campeche,casa,https://casa.metroscubicos.com/MLM-1398419090-casa-sola-en-venta-puerta-de-hierro-_JM,"$1,750,000",Carmen,Puerta De Hierro,98 m²,,2,2,,,0 años,,136 m²,,,,,,,,,,,,,,
1318175378,campeche,venta,https://casa.metroscubicos.com/MLM-1318175378-venta-fracc-bugambilias-framboyanes-ciudad-del-carmen-_JM,"$1,900,000",Carmen,Bugambilias,100 m²,,2,3,2,2,9 años,,120 m²,,,,Sur,1,,,,,,,,,
1396055627,campeche,casa,https://casa.metroscubicos.com/MLM-1396055627-casa-sola-en-venta-fracc-res-del-lago-_JM,"$2,350,000",Carmen,Fracc. Residencial Del Lago,300 m²,,2,2,,,0 años,,120 m²,,,,,,,,,,,,,,
1338056423,campeche,terreno,https://casa.metroscubicos.com/MLM-1338056423-terreno-en-venta-en-privada-_JM,"$1,150,000",Carmen,La Esperanza,250 m²,,,,,,0 años,,,,,,,,,,,,,,,,
1394220135,campeche,casa,https://casa.metroscubicos.com/MLM-1394220135-casa-sola-en-venta-isla-de-tris-_JM,"$2,050,000",Carmen,Isla de Tris,96 m²,,3,3,,,0 años,,120 m²,,,,,,,,,,,,,,
1400707747,campeche,casa,https://casa.metroscubicos.com/MLM-1400707747-casa-en-venta-en-fracc-pueblo-maya-campeche-dcch-_JM,"$1,082,290",Carmen,Fraccionamiento Pueblo Maya,120 m²,,2,1,1,1,12 años,,150 m²,,,,,,,,,,,,,,
871942867,campeche,casa,https://casa.metroscubicos.com/MLM-871942867-casa-en-venta-en-perla-del-golfo-_JM,"$1,800,000",Carmen,Perla del Golfo,160 m²,5,3,2,1,,0 años,,1 m²,,,,,,,,,,,,,,
865954596,campeche,casa,https://casa.metroscubicos.com/MLM-865954596-casa-en-colonia-playon-en-venta-_JM,"$1,600,000",Carmen,1 De Mayo (Playón),450 m²,6,3,3,3,,0 años,,1 m²,,,,,,,,,,,,,,
926161556,campeche,en,https://casa.metroscubicos.com/MLM-926161556-en-venta-san-miguel-ciudad-del-carmen-_JM,"$1,900,000",Carmen,Fraccionamiento Villa Encantada,87.28 m²,,3,3,1,2,10 años,,150.72 m²,,,,,1,,,,,,,,,
