ID,entidad,tipo,link,precio,municipio,colonia,Superficie total,Superficie construida,Ambientes,Recámaras,Baños,Estacionamientos,Tipo de casa,Antigüedad,Cuota mensual de mantenimiento,RecÃ¡maras,BaÃ±os,Bodegas,AntigÃ¼edad,OrientaciÃ³n,Orientación,Cantidad de pisos,Tipo de propiedad,Tipo de departamento,Disposición,Departamentos por piso,Número de piso de la unidad,Acceso,Metros de frente,Metros de fondo,Forma del terreno,DisposiciÃ³n del lote,Disposición del lote
1405099279,oaxaca,hotel,https://casa.metroscubicos.com/MLM-1405099279-hotel-boutique-en-el-bosque-ecologico-4-suites-_JM,"$15,500,000",Santa Maria Huatulco,Copalita,13000 m²,618 m²,9,4,5,,,0 años,,,,,,,,,,,,,,,,,,,
1405099254,oaxaca,casa,https://casa.metroscubicos.com/MLM-1405099254-casa-moderna-con-jardin-ventanas-de-pared-completa-doble-a-_JM,"$5,500,000",Santa Maria Huatulco,Chahue,293 m²,250 m²,8,3,3,2,,,,,,,,,,,,,,,,,,,,,
1359418614,oaxaca,casa,https://casa.metroscubicos.com/MLM-1359418614-casa-en-venta-en-santa-lucia-del-camino-oaxaca-_JM,"$2,400,000",Santa Lucia Del Camino,Santa Lucia Del Camino,135 m²,200 m²,,5,2,,,15 años,,,,,,,,,,,,,,,,,,,
936896238,oaxaca,en,https://casa.metroscubicos.com/MLM-936896238-en-venta-casa-en-tlalixtac-de-cabrera-oaxaca-_JM,"$4,650,000",Tlalixtac De Cabrera,Tlalixtac De Cabrera,200 mÂ²,235 mÂ²,,,,2,,,,3,3,,0 aÃ±os,,,,,,,,,,,,,,
1405043533,oaxaca,casa,https://casa.metroscubicos.com/MLM-1405043533-casa-frente-al-mar-club-de-playa-con-servicios-de-hotel-al-_JM,"$30,000,000",Santa Maria Huatulco,Balcones De Tangolunda,100 mÂ²,539 mÂ²,12,,,,,,,6,6,,0 aÃ±os,,,,,,,,,,,,,,
1392954036,oaxaca,casa,https://casa.metroscubicos.com/MLM-1392954036-casa-sola-en-venta-santa-maria-huatulco-centro-_JM,"U$S1,650,000",Santa Maria Huatulco,Santa Maria Huatulco Centro,650 m²,650 m²,,5,5,,,0 años,,,,,,,,,,,,,,,,,,,
1335874963,oaxaca,en,https://casa.metroscubicos.com/MLM-1335874963-en-venta-casa-en-la-colonia-moctezuma-oaxaca-oax-_JM,"$4,350,000",Oaxaca De Juárez,Agencia Municipal San Martin Mexicapan,390 m²,353 m²,,3,2,2,,10 años,,,,,,,,,,,,,,,,,,,
1335841616,oaxaca,en,https://casa.metroscubicos.com/MLM-1335841616-en-venta-casa-en-santa-cruz-xoxocotlan-oaxaca-_JM,"$1,600,000",Santa Cruz Xoxocotlan,Santa Cruz Xoxocotlan,127 m²,91 m²,,2,1,2,,0 años,,,,,,,,,,,,,,,,,,,
1338659765,oaxaca,en,https://casa.metroscubicos.com/MLM-1338659765-en-venta-casa-en-san-agustin-etla-oaxaca-_JM,"$4,990,000",San Lorenzo Cacaotepec,Santiaguito Etla,1062 mÂ²,136 mÂ²,,,,3,,,,5,5,,3 aÃ±os,,,,,,,,,,,,,,
893200114,oaxaca,casa,https://casa.metroscubicos.com/MLM-893200114-casa-sola-en-venta-del-maestro-_JM,"$7,000,000",Oaxaca De Juárez,Del Maestro,500 m²,250 m²,,5,4,,,0 años,,,,,,,,,,,,,,,,,,,
1339330226,oaxaca,en,https://casa.metroscubicos.com/MLM-1339330226-en-venta-casa-en-donaji-san-luis-beltran-oaxaca-oaxaca-_JM,"$3,000,000",Oaxaca De JuÃ¡rez,San Luis BeltrÃ¡n,150 mÂ²,148 mÂ²,,,,1,,,,3,2,,8 aÃ±os,,,,,,,,,,,,,,
1323268485,oaxaca,en,https://casa.metroscubicos.com/MLM-1323268485-en-venta-casa-con-locales-comerciales-en-mier-y-teran-oaxaca-oax-_JM,"$13,500,000",Oaxaca De Juárez,Oaxaca Centro,299 m²,290.6 m²,,2,2,5,,18 años,,,,,,,,,,,,,,,,,,,
1369189363,oaxaca,1camt,https://casa.metroscubicos.com/MLM-1369189363-1camt-excelente-casa-en-venta-atraves-de-remate-bancario-cesion-de-dercho-bancario-fracc-bajio-en-santa-lucia-del-camino-oaxaca-3-recamaras-_JM,"$736,700",Santa Lucia Del Camino,Santa Lucia Del Camino,100 m²,120 m²,,3,2,2,,,,,,,,,,,,,,,,,,,,,
