ID,entidad,tipo,link,precio,municipio,colonia,Superficie total,Superficie construida,Ambientes,Recámaras,Baños,Estacionamientos,Bodegas,Tipo de casa,Orientación,Antigüedad,Cuota mensual de mantenimiento,RecÃ¡maras,BaÃ±os,AntigÃ¼edad,Cantidad de pisos,Tipo de propiedad,OrientaciÃ³n,Tipo de departamento,Departamentos por piso,Número de piso de la unidad,NÃºmero de piso de la unidad,Disposición,Acceso,Forma del terreno,DisposiciÃ³n del lote,Metros de frente,Metros de fondo,Disposición del lote
1400111559,michoacán,casa,https://casa.metroscubicos.com/MLM-1400111559-casa-sola-en-venta-patzcuaro-centro-_JM,"$2,200,000",Pátzcuaro,Pátzcuaro Centro,160 m²,120 m²,,3,3,,,,,0 años,,,,,,,,,,,,,,,,,,
1395280559,michoacán,casa,https://casa.metroscubicos.com/MLM-1395280559-casa-en-venta-villas-del-sol-patzcuaro-semi-nueva-_JM,"$3,000,000",Michoacán,Pátzcuaro,112 m²,130 m²,,4,2,1,,,,1 años,,,,,,,,,,,,,,,,,,
1300508334,michoacán,casa,https://casa.metroscubicos.com/MLM-1300508334-casa-morelia-_JM,"$8,000,000",MichoacÃ¡n,Morelia,367 mÂ²,,,,,2,,,,,0 MXN,4,4,0 aÃ±os,2,,,,,,,,,,,,,
1421737101,michoacán,casa,https://casa.metroscubicos.com/MLM-1421737101-casa-en-venta-tzurumutaro-patzcuaro-_JM,"$950,000",Michoacán,Pátzcuaro,310 m²,90 m²,,2,2,2,,,,1 años,,,,,,,,,,,,,,,,,,
1335821907,michoacán,casa,https://casa.metroscubicos.com/MLM-1335821907-casa-sola-en-venta-campo-bello-_JM,"$1,950,000",Morelia,Campo Bello,140 mÂ²,150 mÂ²,,,,,,,,,,3,3,1 aÃ±os,,,,,,,,,,,,,,
1412166367,michoacán,casa,https://casa.metroscubicos.com/MLM-1412166367-casa-en-venta-villas-del-sol-patzcuaro-amueblada-_JM,"$3,000,000",Michoacán,Pátzcuaro,112 m²,130 m²,,4,2,1,,,,1 años,,,,,,,,,,,,,,,,,,
1378047556,michoacán,casa,https://casa.metroscubicos.com/MLM-1378047556-casa-sola-en-venta-mision-de-san-diego-_JM,"$2,780,000",Morelia,Misión de San Diego,107 m²,150 m²,,3,3,,,,,1 años,,,,,,,,,,,,,,,,,,
1335773795,michoacán,casa,https://casa.metroscubicos.com/MLM-1335773795-casa-sola-en-venta-nueva-chapultepec-_JM,"$2,900,000",Morelia,Nueva Chapultepec,162 m²,198 m²,,3,3,,,,,16 años,,,,,,,,,,,,,,,,,,
1313907573,michoacán,casa,https://casa.metroscubicos.com/MLM-1313907573-casa-sola-en-venta-lomas-de-la-aurora-jardines-de-la-aurora-_JM,"$1,100,000",Morelia,Loma Dorada Del Sur,112 m²,112 m²,,4,3,,,,,0 años,,,,,,,,,,,,,,,,,,
1313278650,michoacán,huandacareo,https://casa.metroscubicos.com/MLM-1313278650-huandacareo-casa-venta-huandacareo-michoacan-_JM,"$1,898,000",Huandacareo,Huandacareo,109 m²,273 m²,7,4,3,1,,,,0 años,,,,,,,,,,,,,,,,,,
1335741884,michoacán,casa,https://casa.metroscubicos.com/MLM-1335741884-casa-sola-en-venta-club-altozano-_JM,"$16,000,000",Morelia,Club Campestre,800 m²,1200 m²,,4,5,,,,,2 años,,,,,,,,,,,,,,,,,,
1388922041,michoacán,residencia,https://casa.metroscubicos.com/MLM-1388922041-residencia-en-venta-en-campo-de-golf-tres-marias-morelia-_JM,"$26,000,000",Morelia,Tres MarÃ­as,1000 mÂ²,760 mÂ²,12,,,,,,,,,4,5,0 aÃ±os,,,,,,,,,,,,,,
