id,entidad,colonia,municipio,codigo_postal,tipo,m2Terreno,m2Construccion,recamaras,banos,medio_bano,Ba�os,estacionamientos,pisos,antiguedad,cuotaMantto,precioSalida,precioVenta
35755,CIUDAD DE MEXICO,SAN JERONIMO LIDICE,LA MAGDALENA CONTRERAS,10200,CASA EN CONDOMINIO,120,250,3,3,1,3.5,2,,,,5450000,5450000
35763,PUEBLA,PRADOS AGUA AZUL,PUEBLA,72430,CASA,402,210,3,3,1,3.5,6,2,,,3990000,3990000
35765,CIUDAD DE MEXICO,JARDIN BALBUENA,VENUSTIANO CARRANZA,15900,DEPARTAMENTO,,50,2,1,,1,,5,ENTRE 6 - 10 AÑOS,500,1500000,1500000
35771,CIUDAD DE MEXICO,SAN ANDRES TETEPILCO,IZTAPALAPA,9440,DEPARTAMENTO,,65,2,2,,2,1,5,ENTRE 21 - 30 AÑOS,300,1300000,1300000
35778,CIUDAD DE MEXICO,INDEPENDENCIA,BENITO JUAREZ,3630,DEPARTAMENTO,,72,3,1,,1,,5,ENTRE 11 - 15 AÑOS,,2200000,1990000
35779,CIUDAD DE MEXICO,SAN JUAN XALPA,IZTAPALAPA,9850,CASA,140,290,4,3,1,3.5,2,3,ENTRE 0 - 5 AÑOS,,3600000,3600000
35780,CIUDAD DE MEXICO,HUICHAPAN,XOCHIMILCO,16030,CASA,217.5,140,2,3,1,3.5,,1,ENTRE 16 - 20 AÑOS,,2950000,2950000
35782,CIUDAD DE MEXICO,LOMAS DEL PEDREGAL,TLALPAN,14220,CASA,200,250,4,2,1,2.5,5,2,ENTRE 21 - 30 AÑOS,,3350000,3200000
35790,CIUDAD DE MEXICO,HEROES DE CHURUBUSCO,IZTAPALAPA,9090,DEPARTAMENTO,,0,2,1,,1,,3,,,1600000,1600000
35794,CIUDAD DE MEXICO,PORTALES SUR,BENITO JUAREZ,3300,CASA EN CONDOMINIO,65,130,3,2,1,2.5,2,,ENTRE 11 - 15 AÑOS,1000,5200000,4950000
35798,CIUDAD DE MEXICO,CULHUACAN CTM CROC,COYOACAN,4480,DEPARTAMENTO,,52,2,1,,1,1,5,MAS DE 30,,1300000,1200000
35799,CIUDAD DE MEXICO,INDUSTRIAL,GUSTAVO A. MADERO,7800,CASA,122,145,2,2,1,2.5,,,ENTRE 21 - 30 AÑOS,,5500000,5500000
35800,CIUDAD DE MEXICO,EX-EJIDO DE SAN FRANCISCO CULHUACAN,COYOACAN,4420,DEPARTAMENTO,,55,2,1,,1,,5,MAS DE 30,500,1599000,1549000
35802,CIUDAD DE MEXICO,ALIANZA POPULAR REVOLUCIONARIA,COYOACAN,4800,CASA DUPLEX,90,90,3,2,,2,1,3,MAS DE 30,,2300000,2300000
35807,ESTADO DE MEXICO,CIUDAD SATéLITE,NAUCALPAN DE JUáREZ,53100,CASA,159,330,5,4,1,4.5,2,3,MAS DE 30,,4700000,4700000
35809,CIUDAD DE MEXICO,MODERNA,BENITO JUAREZ,3510,DEPARTAMENTO,,75,2,2,,2,2,7,ENTRE 0 - 5 AÑOS,1500,3900000,3900000
35812,CIUDAD DE MEXICO,ALAMOS,BENITO JUAREZ,3400,DEPARTAMENTO,,82,3,1,,1,,3,ENTRE 21 - 30 AÑOS,$250,2480000,2130000
35819,CIUDAD DE MEXICO,TLACOQUEMECATL,BENITO JUAREZ,3200,DEPARTAMENTO,,100,2,1,,1,1,4,ENTRE 21 - 30 AÑOS,1000,3700000,3590000
35822,CIUDAD DE MEXICO,TACUBA,MIGUEL HIDALGO,11410,CASA,,0,3,2,1,2.5,,2,MAS DE 30,,4500000,4300000
35823,CIUDAD DE MEXICO,SAN SIMON TICUMAC,BENITO JUAREZ,3660,DEPARTAMENTO,,72,2,2,,2,1,5,ENTRE 0 - 5 AÑOS,1300,2795000,2655000
35824,CIUDAD DE MEXICO,PEDREGAL DE SANTO DOMINGO,COYOACAN,4369,TERRENO,470M2,,,,,0,,,,,7000000,7000000
35825,CIUDAD DE MEXICO,NARCISO MENDOZA,TLALPAN,14390,DEPARTAMENTO,,62,3,1,,1,,,MAS DE 30,,1850000,1780000
35827,CIUDAD DE MEXICO,NIÑOS HEROES,BENITO JUAREZ,3440,DEPARTAMENTO,,85,2,2,,2,1,4,ENTRE 0 - 5 AÑOS,1000,2980000,2980000
35830,CIUDAD DE MEXICO,HIPODROMO CONDESA,CUAUHTEMOC,6170,DEPARTAMENTO,,200,3,3,1,3.5,1,9,MAS DE 30,2000,8950000,8950000
35833,CIUDAD DE MEXICO,PEDREGAL DE CARRASCO,COYOACAN,4700,DEPARTAMENTO,,97,3,1,,1,1,4,MAS DE 30,,2600000,2600000
35837,CIUDAD DE MEXICO,SANTA TERESA,LA MAGDALENA CONTRERAS,10200,DEPARTAMENTO,,80,3,2,,2,1,,ENTRE 21 - 30 AÑOS,1300,3300000,3300000
35839,CIUDAD DE MEXICO,POLANCO V SECCION,MIGUEL HIDALGO,11560,DEPARTAMENTO,,250,4,4,1,4.5,1,8,MAS DE 30,680,12000000,12000000
35847,CIUDAD DE MEXICO,CUAUHTEMOC,CUAUHTEMOC,6500,DEPARTAMENTO,,80,2,2,,2,2,,ENTRE 6 - 10 AÑOS,,4850000,4850000
35855,CIUDAD DE MEXICO,JARDIN BALBUENA,VENUSTIANO CARRANZA,15900,DEPARTAMENTO,,63,2,1,,1,,4,,50,1500000,1450000
35857,CIUDAD DE MEXICO,ESCANDON I SECCION,MIGUEL HIDALGO,11800,DEPARTAMENTO,,97,2,2,,2,,4,ENTRE 0 - 5 AÑOS,,3180000,3180000
35861,CIUDAD DE MEXICO,HEROES DE PADIERNA,LA MAGDALENA CONTRERAS,10700,CASA,212.5,232,3,2,1,2.5,,2,ENTRE 16 - 20 AÑOS,,5700000,5700000
35865,CIUDAD DE MEXICO,NARVARTE ORIENTE,BENITO JUAREZ,3023,DEPARTAMENTO,,173,3,3,,3,3,6,ENTRE 0 - 5 AÑOS,,8490000,8490000
35868,CIUDAD DE MEXICO,SANTA MARIA LA RIBERA,CUAUHTEMOC,6400,DEPARTAMENTO,,75,2,1,,1,1,4,ENTRE 0 - 5 AÑOS,,2200000,1990000
35870,CIUDAD DE MEXICO,PAULINO NAVARRO,CUAUHTEMOC,6870,CASA,187,370,4,2,1,2.5,6,2,MAS DE 30,,5300000,5300000
35871,CIUDAD DE MEXICO,SANTA CRUZ XOCHITEPEC,XOCHIMILCO,16100,CASA,674,240,4,2,,2,6,2,,,6500000,6500000
35874,CIUDAD DE MEXICO,DEL VALLE SUR,BENITO JUAREZ,3100,PENT HOUSE,200,204,3,5,,5,1,5,MAS DE 30,1050,6990000,6990000
35876,CIUDAD DE MEXICO,XOCO,BENITO JUAREZ,3330,DEPARTAMENTO,,100,3,2,,2,,3,MAS DE 30,$800,3150000,3075000
35877,ESTADO DE MEXICO,CIUDAD SATELITE,NAUCALPAN DE JUAREZ,53100,CASA,129,114,5,2,,2,1,3,MAS DE 30,,3900000,3500000
35879,CIUDAD DE MEXICO,TETELPAN,ALVARO OBREGON,1700,CASA EN CONDOMINIO,390,355,4,4,1,4.5,4,,ENTRE 16 - 20 AÑOS,2500,13300000,13300000
35880,CIUDAD DE MEXICO,VILLA COAPA,TLALPAN,14390,TERRENO,334,,,,,0,,,,,6000000,6000000
35882,CIUDAD DE MEXICO,CLAVERIA,AZCAPOTZALCO,2080,DEPARTAMENTO,,51,2,1,,1,1,6,ENTRE 0 - 5 AÑOS,,2500000,2500000
35883,CIUDAD DE MEXICO,POLANCO V SECCION,MIGUEL HIDALGO,11560,CASA,404,400,3,4,1,4.5,4,2,ENTRE 16 - 20 AÑOS,,23000000,23000000
35888,CIUDAD DE MEXICO,COLINA DEL SUR,ALVARO OBREGON,1430,DEPARTAMENTO,,76,2,1,,1,1,3,ENTRE 21 - 30 AÑOS,,2050000,2050000
35889,CIUDAD DE MEXICO,EL MIRADOR 3A SECCION,TLALPAN,14449,CASA,90,130,5,1,1,1.5,,2,ENTRE 11 - 15 AÑOS,,1380000,1380000
