ID,entidad,tipo,link,precio,municipio,colonia,Superficie total,Superficie construida,Ambientes,Recámaras,Baños,Estacionamientos,Tipo de casa,Antigüedad,Cuota mensual de mantenimiento,RecÃ¡maras,BaÃ±os,Bodegas,AntigÃ¼edad,OrientaciÃ³n,Orientación,Cantidad de pisos,Tipo de propiedad,Tipo de departamento,Disposición,Departamentos por piso,Número de piso de la unidad,Acceso,Metros de frente,Metros de fondo,Forma del terreno,DisposiciÃ³n del lote
1425462945,nuevo-león,casa,https://casa.metroscubicos.com/MLM-1425462945-casa-en-las-alondras-san-pedro-garza-garcia-con-5-recamaras-643-m-id-62002-_JM,"$25,900,000",Nuevo León,San Pedro Garza García,643 m²,643 m²,5,5,4,2,Casa,12 años,0 MXN,,,1,,,,,,,,,,,,,,
1425437580,nuevo-león,casa,https://casa.metroscubicos.com/MLM-1425437580-casa-en-jardines-de-escobedo-i-general-escobedo-con-2-recamaras-160-m-id-79445-_JM,"$1,590,000",Nuevo León,General Escobedo,105 m²,160 m²,2,2,1,1,Casa,18 años,0 MXN,,,,,,,,,,,,,,,,,
1425437052,nuevo-león,casa,https://casa.metroscubicos.com/MLM-1425437052-casa-en-santa-fe-monterrey-con-4-recamaras-320-m-id-61718-_JM,"$9,750,000",Monterrey,Santa Fe,385 mÂ²,320 mÂ²,4,,,4,Casa,,0 MXN,4,4,1,12 aÃ±os,,,,,,,,,,,,,
1425436402,nuevo-león,casa,https://casa.metroscubicos.com/MLM-1425436402-casa-en-la-estanzuela-monterrey-con-3-recamaras-316-m-id-65957-_JM,"$5,850,000",Monterrey,La Estanzuela,139 m²,316 m²,3,3,4,2,Casa,12 años,0 MXN,,,1,,,,,,,,,,,,,,
1425516815,nuevo-león,casa,https://casa.metroscubicos.com/MLM-1425516815-casa-en-carolco-monterrey-con-4-recamaras-455-m-id-64657-_JM,"$12,500,000",Monterrey,Carolco,290 mÂ²,455 mÂ²,4,,,3,Casa,,0 MXN,4,5,,12 aÃ±os,,,,,,,,,,,,,
1425562038,nuevo-león,casa,https://casa.metroscubicos.com/MLM-1425562038-casa-en-carolco-monterrey-con-3-recamaras-390-m-id-64647-_JM,"$10,750,000",Monterrey,Carolco,300 mÂ²,390 mÂ²,3,,,3,Casa,,0 MXN,3,3,,12 aÃ±os,,,,,,,,,,,,,
1425450341,nuevo-león,casa,https://casa.metroscubicos.com/MLM-1425450341-casa-en-exseminario-monterrey-con-3-recamaras-295-m-id-79320-_JM,"$6,490,000",Monterrey,Colinas De Valle Verde,164 m²,295 m²,3,3,3,2,Casa,12 años,0 MXN,,,,,,,,,,,,,,,,,
1425548967,nuevo-león,casa,https://casa.metroscubicos.com/MLM-1425548967-casa-en-carolco-monterrey-con-3-recamaras-468-m-id-64645-_JM,"$9,800,000",Monterrey,Carolco,323 mÂ²,468 mÂ²,3,,,3,Casa,,0 MXN,3,3,,12 aÃ±os,,,,,,,,,,,,,
1425436404,nuevo-león,casa,https://casa.metroscubicos.com/MLM-1425436404-casa-en-yerbaniz-santiago-con-3-recamaras-350-m-id-65986-_JM,"$7,250,000",Santiago,Yerbaniz,300 mÂ²,350 mÂ²,3,,,3,Casa,,0 MXN,3,5,1,12 aÃ±os,,,,,,,,,,,,,
1425468808,nuevo-león,casa,https://casa.metroscubicos.com/MLM-1425468808-casa-en-yerbaniz-santiago-con-3-recamaras-332-m-id-65988-_JM,"$7,100,000",Santiago,Yerbaniz,300 mÂ²,332 mÂ²,3,,,3,Casa,,0 MXN,3,3,,12 aÃ±os,,,,,,,,,,,,,
1425568427,nuevo-león,casa,https://casa.metroscubicos.com/MLM-1425568427-casa-en-la-estanzuela-monterrey-con-1-recamara-370-m-id-65009-_JM,"$7,700,000",Monterrey,La Estanzuela,180 m²,370 m²,1,1,1,,Casa,12 años,0 MXN,,,,,,,,,,,,,,,,,
1425523122,nuevo-león,casa,https://casa.metroscubicos.com/MLM-1425523122-casa-en-las-margaritas-monterrey-con-3-recamaras-400-m-id-64363-_JM,"$7,350,000",Monterrey,Las Margaritas,300 mÂ²,400 mÂ²,3,,,3,Casa,,0 MXN,3,3,,12 aÃ±os,,,,,,,,,,,,,
1425450359,nuevo-león,casa,https://casa.metroscubicos.com/MLM-1425450359-casa-en-las-margaritas-monterrey-con-3-recamaras-250-m-id-62934-_JM,"$6,950,000",Monterrey,Las Margaritas,289 m²,250 m²,3,3,4,3,Casa,12 años,0 MXN,,,1,,,,,,,,,,,,,,
1425476118,nuevo-león,casa,https://casa.metroscubicos.com/MLM-1425476118-casa-en-las-margaritas-monterrey-con-4-recamaras-249-m-id-62931-_JM,"$5,850,000",Monterrey,Las Margaritas,269 m²,249 m²,4,4,4,3,Casa,12 años,0 MXN,,,1,,,,,,,,,,,,,,
1425443116,nuevo-león,casa,https://casa.metroscubicos.com/MLM-1425443116-casa-en-arturo-marroquin-santiago-con-3-recamaras-350-m-id-75894-_JM,"$6,950,000",Nuevo León,Santiago,250 m²,350 m²,3,3,3,2,Casa,12 años,0 MXN,,,,,,,,,,,,,,,,,
1425555476,nuevo-león,casa,https://casa.metroscubicos.com/MLM-1425555476-casa-en-carolco-monterrey-con-3-recamaras-325-m-id-64642-_JM,"$8,300,000",Monterrey,Carolco,301 mÂ²,325 mÂ²,3,,,3,Casa,,0 MXN,3,3,,12 aÃ±os,,,,,,,,,,,,,
1425548898,nuevo-león,casa,https://casa.metroscubicos.com/MLM-1425548898-casa-en-las-margaritas-monterrey-con-4-recamaras-420-m-id-64431-_JM,"$8,300,000",Monterrey,Las Margaritas,316 mÂ²,420 mÂ²,4,,,3,Casa,,0 MXN,4,4,,12 aÃ±os,,,,,,,,,,,,,
1425450085,nuevo-león,casa,https://casa.metroscubicos.com/MLM-1425450085-casa-en-padilla-ciudad-apodaca-con-3-recamaras-179-m-id-78516-_JM,"$2,980,000",Apodaca,Padilla,112 m²,179 m²,3,3,2,2,Casa,12 años,0 MXN,,,,,,,,,,,,,,,,,
