ID,entidad,tipo,link,precio,municipio,colonia,Superficie total,Superficie construida,Ambientes,Recámaras,Baños,Estacionamientos,Antigüedad,Cantidad de pisos,Orientación,Cuota mensual de mantenimiento,RecÃ¡maras,BaÃ±os,OrientaciÃ³n,AntigÃ¼edad,Bodegas,Tipo de casa,Tipo de propiedad,Departamentos por piso,Acceso,Metros de frente,Metros de fondo,Forma del terreno,DisposiciÃ³n del lote,Disposición del lote
1391191069,zacatecas,casa,https://casa.metroscubicos.com/MLM-1391191069-casa-sola-en-venta-valle-los-fresnos-_JM,"$1,080,000",Zacatecas,Guadalupe,98 m²,99 m²,,3,3,,1 años,,,,,,,,,,,,,,,,,
1365828591,zacatecas,casa,https://casa.metroscubicos.com/MLM-1365828591-casa-bastante-amplia-con-muy-buenos-acabados-cerca-de-nueva-zona-comercial-_JM,"$1,485,000",Calera,Año de Juárez,250 m²,336 m²,,5,1,2,23 años,,,,,,,,,,,,,,,,,
1376904268,zacatecas,de,https://casa.metroscubicos.com/MLM-1376904268-de-oportunidad-casa-en-la-estacion-de-3-recamaras-excelente-precio-_JM,"$695,000",Calera,Estación Víctor Rosales,105 m²,126.68 m²,,3,1,,12 años,,,,,,,,,,,,,,,,,
1390652066,zacatecas,casa,https://casa.metroscubicos.com/MLM-1390652066-casa-sola-en-venta-delicias-_JM,"$1,425,000",Jerez,Modelo,160 m²,75 m²,,2,2,,7 años,,,,,,,,,,,,,,,,,
1418201432,zacatecas,excelente,https://casa.metroscubicos.com/MLM-1418201432-excelente-casa-de-3-recamaras-en-la-zona-de-mayor-crecimiento-de-la-ciudad-_JM,"$2,130,000",Guadalupe,Mina Azul,190 m²,150 m²,,3,3,2,1 años,,Norte,0 MXN,,,,,,,,,,,,,,
1416970940,zacatecas,casa,https://casa.metroscubicos.com/MLM-1416970940-casa-habitacion-excelente-ubicacion-de-4-recamaras-cerca-de-comercios-y-escuelas-_JM,"$1,680,000",Guadalupe,La Fé,105 m²,180 m²,2,4,2,2,14 años,2,Norte,0 MXN,,,,,,,,,,,,,,
1391216942,zacatecas,casa,https://casa.metroscubicos.com/MLM-1391216942-casa-sola-en-venta-valles-ii-_JM,"$1,785,000",Guadalupe,Valles II,90 m²,171 m²,,4,4,,0 años,,,,,,,,,,,,,,,,,
1338094696,zacatecas,casa,https://casa.metroscubicos.com/MLM-1338094696-casa-venta-en-zacatecas-_JM,"$900,000",Guadalupe,Villas De Guadalupe,75 m²,125 m²,,4,3,,17 años,,,,,,,,,,,,,,,,,
1421944729,zacatecas,casa,https://casa.metroscubicos.com/MLM-1421944729-casa-para-credito-infonavit-dos-recamarasno-dejes-pasar-la-oportunidad-_JM,"$393,000",Guadalupe,División Del Norte,90 m²,42 m²,2,2,1,1,4 años,,Norte,0 MXN,,,,,,,,,,,,,,
1416780653,zacatecas,casa,https://casa.metroscubicos.com/MLM-1416780653-casa-de-4-recamaras-en-excelente-ubicacion-desarrollo-y-crecimiento-_JM,"$1,700,000",Zacatecas,Villas Universidad,96 m²,130 m²,4,4,2,1,3 años,2,Norte,0 MXN,,,,,,,,,,,,,,
1417001790,zacatecas,centrica,https://casa.metroscubicos.com/MLM-1417001790-centrica-casa-habitacion-con-terraza-comercial-equipada-para-restaurant-_JM,"$3,200,000",Guadalupe,Guadalupe Centro,133 m²,300 m²,3,4,2,,7 años,3,Norte,0 MXN,,,,,,,,,,,,,,
1418853946,zacatecas,rancho,https://casa.metroscubicos.com/MLM-1418853946-rancho-agricola-37hs-la-colorada-casa-grande-capilla-bodega-luz-agua-pozo-_JM,"$7,000,000",Panuco,Otra Colonia,370000 mÂ²,250 mÂ²,1,,,10,,1,,0 MXN,5,4,Norte,15 aÃ±os,,,,,,,,,,
1386992207,zacatecas,casa,https://casa.metroscubicos.com/MLM-1386992207-casa-en-venta4-recamaras-amplios-espaciosexcelente-ubicacion-e-iluminacion-_JM,"$4,200,000",Zacatecas,Tecnológica,222 m²,278 m²,,4,2,6,30 años,,,,,,,,,,,,,,,,,
874457664,zacatecas,quinta,https://casa.metroscubicos.com/MLM-874457664-quinta-en-venta-en-pinos-zacatecas-_JM,"$3,500,000",Zacatecas,Pinos,1680 m²,750 m²,,5,6,,10 años,,,0 MXN,,,,,,,,,,,,,,
1401102240,zacatecas,casa,https://casa.metroscubicos.com/MLM-1401102240-casa-sola-en-venta-buenos-aires-_JM,"$3,820,000",Zacatecas,Buenos Aires,150 m²,353 m²,,5,6,,22 años,,,,,,,,,,,,,,,,,
1398692779,zacatecas,las,https://casa.metroscubicos.com/MLM-1398692779-las-arboledas-_JM,"$69,378,000",Zacatecas,Las Haciendas,2136 m²,5124 m²,,,,,,,,,,,,,,,,,,,,,,
