ID,entidad,tipo,link,precio,municipio,colonia,Superficie total,Superficie construida,Recámaras,Baños,Estacionamientos,Orientación,Antigüedad,Ambientes,Bodegas,Cantidad de pisos,Cuota mensual de mantenimiento,RecÃ¡maras,BaÃ±os,OrientaciÃ³n,AntigÃ¼edad,Tipo de casa,Tipo de propiedad,Departamentos por piso,Número de piso de la unidad,Disposición,NÃºmero de piso de la unidad,Acceso,Metros de frente,Metros de fondo,Forma del terreno,Disposición del lote,DisposiciÃ³n del lote
1380582126,san-luis-potosí,departamento,https://departamento.metroscubicos.com/MLM-1380582126-departamento-en-venta-lomas-1-seccion-san-luis-potosi-_JM,"$2,350,672",San Luis Potosí,Lomas 1a Secc.,113 m²,113 m²,3,2,2,,0 años,5,,,,,,,,,,,,,,,,,,,
1379620330,san-luis-potosí,san,https://departamento.metroscubicos.com/MLM-1379620330-san-luis-potosi-roma-norte-_JM,"$6,950,000",Cuauhtémoc,Roma Norte,100 m²,100 m²,2,2,1,,,5,,,,,,,,,,,,,,,,,,,
1373868883,san-luis-potosí,departamento,https://departamento.metroscubicos.com/MLM-1373868883-departamento-en-venta-morales-campestre-_JM,"$2,150,000",San Luis Potosí,Central Camionera,,118 m²,2,3,,,0 años,,,,,,,,,,,,,,,,,,,,
1401457305,san-luis-potosí,departamento,https://departamento.metroscubicos.com/MLM-1401457305-departamento-en-venta-_JM,"$4,572,600",San Luis Potosí,Lomas Del Tecnológico,,152 m²,3,3,2,,0 años,,1,,,,,,,,,,,,,,,,,,
1413889842,san-luis-potosí,departamento,https://departamento.metroscubicos.com/MLM-1413889842-departamento-en-venta-_JM,"$3,000,000",San Luis Potosí,Jardín,,145 m²,3,2,,,0 años,,,2,,,,,,,,,,,,,,,,,
952445195,san-luis-potosí,increible,https://departamento.metroscubicos.com/MLM-952445195-increible-depa-con-estilo-moderno-_JM,"$3,650,000",San Luis Potosí,San Luis Potosí Centro,105 m²,105 m²,2,2,2,,0 años,4,,,,,,,,,,,,,,,,,,,
1421718176,san-luis-potosí,departamento,https://departamento.metroscubicos.com/MLM-1421718176-departamento-en-venta-en-avenida-_JM,"$2,047,000",San Luis Potosí,Avenida,,126 m²,3,2,1,,,,,,,,,,,,,,,,,,,,,,
1421679889,san-luis-potosí,departamento,https://departamento.metroscubicos.com/MLM-1421679889-departamento-en-venta-en-garita-de-jalisco-_JM,"$2,783,575",San Luis Potosí,Garita De Jalisco,,115 m²,3,2,2,,,,,,,,,,,,,,,,,,,,,,
1421724508,san-luis-potosí,departamento,https://departamento.metroscubicos.com/MLM-1421724508-departamento-en-venta-en-villa-magna-_JM,"$3,500,000",San Luis Potosí,Llamaradas,,155 m²,3,3,2,,,,,,,,,,,,,,,,,,,,,,
1411442171,san-luis-potosí,departamento,https://departamento.metroscubicos.com/MLM-1411442171-departamento-en-venta-lomas-1a-seccion-_JM,"$3,250,000",San Luis PotosÃ­,Las Lomas,129 mÂ²,129 mÂ²,,,,,,,,,,2,2,,8 aÃ±os,,,,,,,,,,,,
1405366022,san-luis-potosí,loft,https://departamento.metroscubicos.com/MLM-1405366022-loft-en-venta-en-lomas-3a-secc-san-luis-potosi-san-luis-potosi-_JM,"$2,574,000",San Luis Potosí,Lomas 3a Secc,,98 m²,2,2,,,2 años,,,,,,,,,,,,,,,,,,,,
1401463839,san-luis-potosí,departamento,https://departamento.metroscubicos.com/MLM-1401463839-departamento-en-venta-_JM,"$7,000,000",San Luis Potosí,La Loma Club De Golf,227 m²,,3,3,2,,5 años,,1,10,,,,,,,,,,,,,,,,,
1400103219,san-luis-potosí,venta,https://departamento.metroscubicos.com/MLM-1400103219-venta-de-departamento-a-un-costado-del-parque-de-morales-1550000-_JM,"$1,495,000",San Luis Potosí,Morales,,68 m²,2,,,,,,,,,,,,,,,,,,,,,,,,
936355142,san-luis-potosí,departamento,https://departamento.metroscubicos.com/MLM-936355142-departamento-en-venta-loma-linda-_JM,"$2,465,000",San Luis Potosí,Lindavista,,100 m²,3,3,,,0 años,,,,,,,,,,,,,,,,,,,,
1421737545,san-luis-potosí,departamento,https://departamento.metroscubicos.com/MLM-1421737545-departamento-en-venta-en-torre-aurore-alto-lago-residencial-_JM,"$4,800,000",San Luis Potosí,Ricardo Flores Magón,,171 m²,3,3,2,,,,,,,,,,,,,,,,,,,,,,
