ID,entidad,tipo,link,precio,municipio,colonia,Superficie total,Superficie construida,Ambientes,Recámaras,Baños,Estacionamientos,Bodegas,Cantidad de pisos,Orientación,Antigüedad,Cuota mensual de mantenimiento,RecÃ¡maras,BaÃ±os,AntigÃ¼edad,Tipo de casa,Tipo de propiedad,OrientaciÃ³n,Departamentos por piso,Número de piso de la unidad,Disposición,NÃºmero de piso de la unidad,Acceso,Metros de frente,Metros de fondo,Forma del terreno,DisposiciÃ³n del lote
1415250372,aguascalientes,hurban,https://terreno.metroscubicos.com/MLM-1415250372-hurban-vende-terreno-en-calvillito-_JM,$170,Aguascalientes,Lic. JesÃºs Teran Villa,38421 mÂ²,,,,,,,,,,,,,,,,,,,,,Otro,,,,
1399235543,aguascalientes,terreno,https://terreno.metroscubicos.com/MLM-1399235543-terreno-venta-poniente-_JM,"$1,224,000",Aguascalientes,Campestre,144 mÂ²,,,,,,,,,,,,,,,,,,,,,Otro,,,,
1418848725,aguascalientes,venta,https://terreno.metroscubicos.com/MLM-1418848725-venta-de-terreno-en-villas-de-la-cantera-_JM,"$850,000",Aguascalientes,Aguascalientes,160 mÂ²,,,,,,,,,,0 MXN,,,,,,,,,,,Otro,,,,
1389911255,aguascalientes,terrenos,https://terreno.metroscubicos.com/MLM-1389911255-terrenos-en-venta-desarrollo-santa-barbara-aguascalientes-_JM,"$6,500,000",Aguascalientes,Santa Imelda,1000 mÂ²,,,,,,,,,,,,,,,,,,,,,Otro,,,,
1358404296,aguascalientes,terreno,https://terreno.metroscubicos.com/MLM-1358404296-terreno-en-venta-vicente-guerrero-_JM,"$26,562,000",Aguascalientes,Vicente Guerrero,29513 mÂ²,,,,,,,,,,,,,,,,,,,,,-,,,,
1410751654,aguascalientes,hermoso,https://terreno.metroscubicos.com/MLM-1410751654-hermoso-terreno-en-venta-al-sur-solo-quedan-3-lotes-en-esta-privada-_JM,"$1,160,000",Aguascalientes,Rancho Santa MÃ³nica,200 mÂ²,,,,,,,,,,,,,,,,,,,,,Otro,,,,
1401310166,aguascalientes,terreno,https://terreno.metroscubicos.com/MLM-1401310166-terreno-en-venta-libramiento-pocitos-_JM,"$30,729,000",Aguascalientes,Ejido Los Pocitos,10243 mÂ²,,,,,,,,,,0 MXN,,,,,,,,,,,Otro,,,,
1317036209,aguascalientes,terreno,https://terreno.metroscubicos.com/MLM-1317036209-terreno-rancho-o-rancheria-salto-de-los-salados-_JM,"$2,850,000",Aguascalientes,Salto De Los Salados,1755 mÂ²,,,,,,,,,,0 MXN,,,,,,,,,,,Otro,,,,
1419631968,aguascalientes,terreno,https://terreno.metroscubicos.com/MLM-1419631968-terreno-en-venta-las-plazas-_JM,"$1,120,000",Aguascalientes,Las Plazuelas,162 mÂ²,,,,,,,,,,,,,,,,,,,,,-,,,,
1403059220,aguascalientes,hurban,https://terreno.metroscubicos.com/MLM-1403059220-hurban-vende-terreno-en-tahona-condominio-residencial-_JM,"$1,139,905",Aguascalientes,Villas de La Cantera 1a SecciÃ³n,175 mÂ²,,,,,,,,,,,,,,,,,,,,,Otro,,,,
1388536042,aguascalientes,lote,https://terreno.metroscubicos.com/MLM-1388536042-lote-en-venta-en-cluster-aguascalientes-lomas-de-angelopolis-_JM,"$884,000",Puebla,San AndrÃ©s Cholula,136 mÂ²,,,,,,,,,,,,,,,,,,,,,Ripio,,,,
1410777677,aguascalientes,exclusivo,https://terreno.metroscubicos.com/MLM-1410777677-exclusivo-terreno-al-sur-de-la-ciudad-_JM,"$1,160,000",Aguascalientes,Rancho Santa MÃ³nica,200 mÂ²,,,,,,,,,,,,,,,,,,,,,Otro,,,,
1403270849,aguascalientes,venta,https://terreno.metroscubicos.com/MLM-1403270849-venta-terreno-calicantos-ii-_JM,"$2,700,000",Aguascalientes,Calicantos,200 m²,,,,,,,,,,,,,,,,,,,,,Otro,,,,
1403091548,aguascalientes,hurban,https://terreno.metroscubicos.com/MLM-1403091548-hurban-vende-terreno-al-norte-en-villas-tec-cerca-del-tec-_JM,"$1,490,000",JesÃºs Maria,Vistas Del SÃ¡uz,256 mÂ²,,,,,,,,,,,,,,,,,,,,,Otro,,,,
1401140779,aguascalientes,terreno,https://terreno.metroscubicos.com/MLM-1401140779-terreno-industrial-en-venta-santa-fe-tecnopark-_JM,"U$S345,000",JesÃºs Maria,Residencial Santa Paulina,5000 mÂ²,,,,,,,,,,,,,,,,,,,,,-,,,,
1340224603,aguascalientes,terreno,https://terreno.metroscubicos.com/MLM-1340224603-terreno-en-venta-rancho-santa-monica-_JM,"$1,920,000",Aguascalientes,Rancho Santa MÃ³nica,364 mÂ²,,,,,,,,,,,,,,,,,,,,,-,,,,
1415828002,aguascalientes,terreno,https://terreno.metroscubicos.com/MLM-1415828002-terreno-jesus-maria-_JM,"$5,400,000",Aguascalientes,JesÃºs Maria,1220 mÂ²,,,,,,,,,,0 MXN,,,,,,,,,,,Otro,,,,
1401316595,aguascalientes,mc,https://terreno.metroscubicos.com/MLM-1401316595-mc-venta-hectarea-en-ejido-san-ignacio-al-poniente-en-aguascalientes-_JM,"$10,000,000",Aguascalientes,Aguascalientes,1 mÂ²,,,,,,,,,,0 MXN,,,,,,,,,,,Otro,,,,
1399273996,aguascalientes,terreno,https://terreno.metroscubicos.com/MLM-1399273996-terreno-residencial-al-norte-_JM,"$2,000,000",Aguascalientes,Los Calicantos,160 mÂ²,,,,,,,,,,,,,,,,,,,,,Otro,,,,
1419344231,aguascalientes,terreno,https://terreno.metroscubicos.com/MLM-1419344231-terreno-en-venta-el-zoyatal-_JM,"$4,500,000",Aguascalientes,La Joya,10000 mÂ²,,,,,,,,,,,,,,,,,,,,,-,,,,
1402497839,aguascalientes,terreno,https://terreno.metroscubicos.com/MLM-1402497839-terreno-venta-aguascalientes-180-000-m2-337-mts-frente-a-ca-_JM,"$99,000,000",Aguascalientes,Valle Dorado,180000 m²,,,,,,,,,,,,,,,,,,,,,Otro,,,,
1393817778,aguascalientes,excelente,https://terreno.metroscubicos.com/MLM-1393817778-excelente-terreno-para-clinica-de-cirugia-ambulatoria-_JM,"$4,950,000",Aguascalientes,Pintores Mexicanos,750 mÂ²,,,,,,,,,,,,,,,,,,,,,Otro,,,,
1401328792,aguascalientes,terreno,https://terreno.metroscubicos.com/MLM-1401328792-terreno-en-venta-en-cerrada-al-norte-_JM,"$5,512,000",Aguascalientes,Cerrada El Molino,424 mÂ²,,,,,,,,,,0 MXN,,,,,,,,,,,Otro,,,,
1413025456,aguascalientes,venta,https://terreno.metroscubicos.com/MLM-1413025456-venta-de-terreno-monclova-coahuila-centro-_JM,"$5,781,190",PabellÃ³n De Arteaga,Colonia Zona Centro,1480 mÂ²,,,,,,,,,,,,,,,,,,,,,Asfalto,,,Plano,Perimetral
874325390,aguascalientes,venta,https://terreno.metroscubicos.com/MLM-874325390-venta-terreno-penuelas-el-cienegal-_JM,"$700,000",Aguascalientes,PeÃ±uelas (El Cienegal),600 mÂ²,,,,,,,,,,,,,,,,,,,,,Otro,,,,
954238961,aguascalientes,terreno,https://terreno.metroscubicos.com/MLM-954238961-terreno-en-venta-carmel-residencial-_JM,"$1,731,250",Aguascalientes,Aguascalientes,277 m²,,,,,,,,,,,,,,,,,,,,,-,,,,
1371809645,aguascalientes,terreno,https://terreno.metroscubicos.com/MLM-1371809645-terreno-para-uso-habitacional-o-comercial-_JM,"$800,000",Aguascalientes,Trojes De Alonso,180 mÂ²,,,,,,,,,,0 MXN,,,,,,,,,,,Otro,,,,
1402666547,aguascalientes,terreno,https://terreno.metroscubicos.com/MLM-1402666547-terreno-en-venta-en-fatima-_JM,"$2,900,000",Aguascalientes,Granjas FÃ¡tima,265 mÂ²,,,,,,,,,,,,,,,,,,,,,Otro,17 m,15.61 m,Regular,
945082184,aguascalientes,terreno,https://terreno.metroscubicos.com/MLM-945082184-terreno-qcampestre-residencial-171m-_JM,"$1,250,000",Jesús Maria,Condominio Q Campestre Residencial,1 m²,,,,,,,,,,,,,,,,,,,,,Otro,,,,
925240691,aguascalientes,terreno,https://terreno.metroscubicos.com/MLM-925240691-terreno-en-venta-coto-san-nicolas-_JM,"$2,100,000",Aguascalientes,Condominio San NicolÃ¡s,284 mÂ²,,,,,,,,,,,,,,,,,,,,,Otro,,,,
