ID,entidad,tipo,link,precio,municipio,colonia,Superficie total,Superficie construida,Ambientes,Recámaras,Baños,Estacionamientos,Bodegas,Cantidad de pisos,Orientación,Antigüedad,Cuota mensual de mantenimiento,RecÃ¡maras,BaÃ±os,AntigÃ¼edad,Tipo de casa,Tipo de propiedad,OrientaciÃ³n,Disposición,Departamentos por piso,Número de piso de la unidad,NÃºmero de piso de la unidad,DisposiciÃ³n,Metros de frente,Metros de fondo,Forma del terreno,DisposiciÃ³n del lote,Acceso,Disposición del lote
1421382109,veracruz,casa,https://casa.metroscubicos.com/MLM-1421382109-casa-nueva-en-venta-en-col-virgilio-uribe-zona-centro-veracruz-_JM,"$1,980,000",Veracruz,Formando Hogar,105 m²,179 m²,,3,3,2,,2,,0 años,0 MXN,,,,,,,,,,,,,,,,,
1410513131,veracruz,casa,https://casa.metroscubicos.com/MLM-1410513131-casa-en-venta-con-jardin-y-recamara-en-planta-baja-fraccionamiento-lomas-del-sol-_JM,"$6,300,000",Alvarado,Lomas Del Sol,372 m²,,,3,3,2,,2,,0 años,0 MXN,,,,,,,,,,,,,,,,,
1410545540,veracruz,punta,https://casa.metroscubicos.com/MLM-1410545540-punta-tiburon-casa-en-venta-de-lujo-con-alberca-_JM,"$6,350,000",Alvarado,Punta Tiburón,365 m²,,,3,4,2,,2,,0 años,0 MXN,,,,,,,,,,,,,,,,,
1317022915,veracruz,vendo,https://casa.metroscubicos.com/MLM-1317022915-vendo-hermosa-casa-nueva-minimalista-en-orizaba-centro-_JM,"$3,200,000",Orizaba,Orizaba Centro,160 m²,222 m²,,3,3,1,,,,,,,,,,,,,,,,,,,,,,
1399985916,veracruz,hermosa,https://casa.metroscubicos.com/MLM-1399985916-hermosa-casa-en-alvarado-veracruz-zona-exclusiva-campo-de-golf-cerca-_JM,"$15,000,000",Alvarado,Vista Bella,615 mÂ²,530 mÂ²,6,,,2,2,2,,,,3,3,12 aÃ±os,,,,,,,,,,,,,,
1410589896,veracruz,palmas,https://casa.metroscubicos.com/MLM-1410589896-palmas-green-casa-en-venta-3-recamaras-con-amplio-jardin-_JM,"$3,600,000",Veracruz,Medellín,250 m²,,,3,3,2,,2,,0 años,0 MXN,,,,,,,,,,,,,,,,,
1422189316,veracruz,2,https://casa.metroscubicos.com/MLM-1422189316-2-recamaras-un-bano-precio-a-tratar-renta-romies-_JM,"$1,650,000",Banderilla,Roberto Smith,260 mÂ²,140 mÂ²,100,,,1,,,,,,2,1,,,,,,,,,,,,,,,
1417776521,veracruz,casa,https://casa.metroscubicos.com/MLM-1417776521-casa-nueva-en-venta-en-cumbres-residencial-boca-del-rio-_JM,"$1,950,000",Boca Del Río,San Jose Novillero,108 m²,142 m²,,3,4,2,,3,,0 años,1300 MXN,,,,,,,,,,,,,,,,,
1417776542,veracruz,casa,https://casa.metroscubicos.com/MLM-1417776542-casa-nueva-en-venta-en-cumbres-residencial-boca-del-rio-_JM,"$1,630,000",Boca Del Río,San Jose Novillero,108 m²,113 m²,,3,3,2,,2,,0 años,1300 MXN,,,,,,,,,,,,,,,,,
1421942558,veracruz,venta,https://casa.metroscubicos.com/MLM-1421942558-venta-punta-tiburon-lagunas-vii-_JM,"$4,985,000",Alvarado,Punta Tiburón,256 m²,294 m²,,4,4,2,1,2,Poniente,0 años,,,,,,,,,,,,,,,,,,
