ID,entidad,tipo,link,precio,municipio,colonia,Superficie total,Ambientes,Recámaras,Baños,Estacionamientos,Cantidad de pisos,Antigüedad,Cuota mensual de mantenimiento,Superficie construida,RecÃ¡maras,BaÃ±os,AntigÃ¼edad,Orientación,Bodegas,Tipo de propiedad,Departamentos por piso,Número de piso de la unidad,Disposición,Acceso,Metros de frente,Metros de fondo,DisposiciÃ³n del lote,Forma del terreno,OrientaciÃ³n,DisposiciÃ³n,Disposición del lote
1365876083,chiapas,en,https://terreno.metroscubicos.com/MLM-1365876083-en-venta-terreno-de-765-m2-berriozabal-chiapas-_JM,"$1,224,000",Berriozabal,Guadalupe Oriente,765 mÂ²,,,,,,,,,,,,,,,,,,Asfalto,50 m,35 m,,Plano,,,
954285848,chiapas,se,https://terreno.metroscubicos.com/MLM-954285848-se-vende-terreno-1000-m2-en-asociacion-medica-tapachula-_JM,"$450,000",Chiapas,Tuxtla Chico,1000 mÂ²,,,,,,,,,,,,,,,,,,Ripio,,,,,,,
950124329,chiapas,terreno,https://terreno.metroscubicos.com/MLM-950124329-terreno-de-10x20-con-todos-los-servicios-escritura-publica-_JM,"$290,000",Berriozabal,San Francisco,200 mÂ²,,,,,,,,,,,,,,,,,,Otro,,,,,,,
936380388,chiapas,terreno,https://terreno.metroscubicos.com/MLM-936380388-terreno-en-venta-santo-domingo-_JM,"$140,000",Cintalapa,Santo Domingo,200000 mÂ²,,,,,,,,,,,,,,,,,,-,,,,,,,
947032790,chiapas,terreno,https://terreno.metroscubicos.com/MLM-947032790-terreno-berriozabal-119-hectarea-11922-m2-_JM,"$3,500,000",Berriozabal,Bugambilias,11200 m²,,,,,,,,,,,,,,,,,,Tierra,97 m,122 m,,Plano,,,
1314189135,chiapas,se,https://terreno.metroscubicos.com/MLM-1314189135-se-vende-terreno-de-una-hectarea-a-un-costado-del-nuevo-libr-_JM,"$1,000,000",Tuxtla GutiÃ©rrez,San JosÃ© TerÃ¡n,10000 mÂ²,,,,,,,,,,,,,,,,,,Otro,,,,,,,
949503181,chiapas,terreno,https://terreno.metroscubicos.com/MLM-949503181-terreno-en-venta-en-lomas-del-mactumatza-_JM,"$918,400",Tuxtla GutiÃ©rrez,Matumatza,287 mÂ²,,,,,,,,,,,,,,,,,,Otro,20.76 m,16.87 m,,,,,
1394588372,chiapas,terreno,https://terreno.metroscubicos.com/MLM-1394588372-terreno-en-venta-real-hacienda-de-chiapa-lotes-residenciales-desde-250-metros-cuadrados-_JM,"$249,750",Cuauhtemoc,Hacienda Chiapa,250 mÂ²,,,,,,,,,,,,,,,,,,-,,,,,,,
1390423481,chiapas,se,https://terreno.metroscubicos.com/MLM-1390423481-se-vende-terreno-de-7-hectareas-cerca-del-aeropuerto-internacional-angel-albino-corzo-_JM,"$1,300,000",Chiapa De Corzo,Distrito Federal,73620 m²,,,,,,,,,,,,,,,,,,-,,,,,,,
1330496901,chiapas,terreno,https://terreno.metroscubicos.com/MLM-1330496901-terreno-ejidal-1020mts-_JM,"$250,000",San CristÃ³bal De Las Casas,RancherÃ­a El EscalÃ³n,200 ha,,,,,,,,,,,,,,,,,,Tierra,,,,,,,
