ID,entidad,tipo,link,precio,municipio,colonia,Superficie total,Superficie construida,Ambientes,Recámaras,Baños,Estacionamientos,Cantidad de pisos,Orientación,Antigüedad,Cuota mensual de mantenimiento,RecÃ¡maras,BaÃ±os,OrientaciÃ³n,AntigÃ¼edad,Bodegas,Tipo de casa,Tipo de propiedad,Acceso,Metros de frente,Metros de fondo,Forma del terreno,DisposiciÃ³n del lote,Disposición del lote
1390400686,sonora,casa,https://casa.metroscubicos.com/MLM-1390400686-casa-en-remate-lista-para-ser-renovada-gran-porche-y-patio-_JM,"U$S85,000",Puerto PeÃ±asco,Puerto PeÃ±asco Centro,525 mÂ²,,,,,,,,,,2,2,,,,,,,,,,,
1340186538,sonora,se,https://casa.metroscubicos.com/MLM-1340186538-se-vende-casa-nueva-en-villa-californiazona-norte-_JM,"$5,800,000",Cajeme,Villa California,230 m²,262 m²,,3,3,2,,,0 años,,,,,,,,,,,,,,
1386066514,sonora,casa,https://casa.metroscubicos.com/MLM-1386066514-casa-venta-y-renta-en-bretana-residencial-_JM,"$7,500,000",Hermosillo,Residencial Bretaña,849 m²,361 m²,9,4,4,10,,,0 años,,,,,,,,,,,,,,
1386053665,sonora,venta,https://casa.metroscubicos.com/MLM-1386053665-venta-casa-valle-del-lago-_JM,"$2,995,000",Hermosillo,Valle Del Lago,228 m²,207 m²,6,3,2,2,,,0 años,,,,,,,,,,,,,,
1333254385,sonora,se,https://casa.metroscubicos.com/MLM-1333254385-se-vende-casa-en-fraccionamiento-villa-dorada-_JM,"$1,300,000",Navojoa,Villa Dorada,160 m²,220 m²,,4,4,,2,,7 años,,,,,,,,,,,,,,
1386047453,sonora,venta,https://casa.metroscubicos.com/MLM-1386047453-venta-casa-para-estrenar-santa-lucia-res-_JM,"$8,500,000",Hermosillo,Santa Lucia,464 m²,510 m²,9,4,4,6,,,0 años,,,,,,,,,,,,,,
1367668366,sonora,se,https://casa.metroscubicos.com/MLM-1367668366-se-vende-casa-col-constitucion-_JM,"$1,250,000",Cajeme,Constitución,220 m²,154.3 m²,,2,2,1,,,45 años,,,,,,,,,,,,,,
1390361698,sonora,casa,https://casa.metroscubicos.com/MLM-1390361698-casa-en-venta-sobre-blvd-camino-del-seri-lateral-de-la-pepsi-colonia-foviste-_JM,"$1,000,000",Hermosillo,Fovissste,70 m²,98 m²,,3,1,,2,,,,,,,,,,,,,,,,
1386066439,sonora,venta,https://casa.metroscubicos.com/MLM-1386066439-venta-casa-la-rioja-norte-_JM,"$9,000,000",Hermosillo,La Paloma Residencial I,489 m²,460 m²,10,4,5,6,,,0 años,,,,,,,,,,,,,,
1386053595,sonora,venta,https://casa.metroscubicos.com/MLM-1386053595-venta-casa-los-santos-residencial-una-planta-_JM,"$6,450,000",Hermosillo,Los Santos Residencial,373 m²,280 m²,5,3,2,2,,,0 años,,,,,,,,,,,,,,
