tipo,precio,predPrices,diffPrices,percentDiff,m2Terreno,colonia,municipio_x,entidad,codigo_postal,latitud,longitud
terrenos,1060200.0,1030000.0,-30200.0,-2.848519147330697,279.0,Cholul,Mérida,Yucatán,97774.0,20.8552703857422,-87.6705703735352
terrenos,546000.0,340000.0,-206000.0,-37.72893772893773,420.0,Kikteil,Mérida,Yucatán,97303.0,21.1296768188477,-89.6934967041016
terrenos,3200.0,80000.0,76800.0,2400.0,600.0,Temozon,Temozon,Yucatán,97933.0,20.1784744262695,-88.885856628418
terrenos,351013.0,320000.0,-31013.0,-8.835285302823536,133.0,Santa Maria Chi,Mérida,Yucatán,,,
terrenos,1674000.0,1760000.0,86000.0,5.137395459976113,588.0,Tamanche,Mérida,Yucatán,,,
terrenos,669375.0,460000.0,-209375.0,-31.279178338001866,525.0,San Ignacio,Progreso,Yucatán,97370.0,20.932653427124,-89.5554580688477
terrenos,669375.0,460000.0,-209375.0,-31.279178338001866,525.0,San Ignacio,Progreso,Yucatán,97334.0,21.1602630615234,-89.6541976928711
terrenos,669375.0,460000.0,-209375.0,-31.279178338001866,525.0,San Ignacio,Progreso,Yucatán,97948.0,20.2135601043701,-88.8765029907227
terrenos,669375.0,460000.0,-209375.0,-31.279178338001866,525.0,San Ignacio,Progreso,Yucatán,97970.0,20.2041168212891,-89.2905044555664
terrenos,3642210.0,40000.0,-3602210.0,-98.90176568621798,933.0,Santa Gertrudis Copo,Mérida,Yucatán,97305.0,21.0393619537354,-89.5932693481445
terrenos,1095113.0,1090000.0,-5113.0,-0.466892457673318,31605.0,Cholul,Mérida,Yucatán,97305.0,21.0393619537354,-89.5932693481445
terrenos,1095113.0,1090000.0,-5113.0,-0.466892457673318,31605.0,Cholul,Mérida,Yucatán,97918.0,20.4695072174072,-89.0872573852539
terrenos,1095113.0,1090000.0,-5113.0,-0.466892457673318,31605.0,Cholul,Mérida,Yucatán,97774.0,20.8552703857422,-87.6705703735352
terrenos,1200000.0,50000.0,-1150000.0,-95.83333333333334,400.0,Conkal,Conkal,Yucatán,97345.0,21.0742607116699,-89.5194549560547
terrenos,146601.0,490000.0,343399.0,234.24055770424482,200.0,Hunucma,Hunucma,Yucatán,,,
terrenos,81080.0,130000.0,48920.0,60.335471139615194,405.0,Dzidzantun,Yucatán,Yucatán,,,
terrenos,434338.0,340000.0,-94338.0,-21.719950821710277,499.0,Piste,Tinum,Yucatán,97751.0,20.6996593475342,-88.591682434082
terrenos,714420.0,1680000.0,965580.0,135.15579071134627,460.0,Kikteil,Mérida,Yucatán,97303.0,21.1296768188477,-89.6934967041016
terrenos,1308160.0,400000.0,-908160.0,-69.42270058708415,584.0,Dzidzilche,Mérida,Yucatán,,,
terrenos,605000.0,690000.0,85000.0,14.049586776859503,275.0,Sitpach,Mérida,Yucatán,97306.0,20.9980812072754,-89.5559234619141
terrenos,271477.0,50000.0,-221477.0,-81.58223348570965,388.0,Hunucma,Hunucma,Yucatán,,,
terrenos,526400.0,360000.0,-166400.0,-31.610942249240125,112.0,Mérida,Mérida,Yucatán,,,
terrenos,3585800.0,3150000.0,-435800.0,-12.153494338780746,717.0,Temozon,Temozon,Yucatán,97933.0,20.1784744262695,-88.885856628418
terrenos,279300.0,320000.0,40700.0,14.572144647332607,133.0,San Ignacio,Progreso,Yucatán,97370.0,20.932653427124,-89.5554580688477
terrenos,279300.0,320000.0,40700.0,14.572144647332607,133.0,San Ignacio,Progreso,Yucatán,97334.0,21.1602630615234,-89.6541976928711
terrenos,279300.0,320000.0,40700.0,14.572144647332607,133.0,San Ignacio,Progreso,Yucatán,97948.0,20.2135601043701,-88.8765029907227
terrenos,279300.0,320000.0,40700.0,14.572144647332607,133.0,San Ignacio,Progreso,Yucatán,97970.0,20.2041168212891,-89.2905044555664
terrenos,291000.0,10000.0,-281000.0,-96.56357388316151,300.0,Ixil,Ixil,Yucatán,97343.0,21.1540184020996,-89.481819152832
terrenos,128554.0,130000.0,1446.0,1.1248191421503906,405.0,Dzidzantun,Yucatán,Yucatán,,,
terrenos,1674000.0,1760000.0,86000.0,5.137395459976113,588.0,Tamanche,Mérida,Yucatán,,,
